股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1303,南亞,2026-09-22 09:54:39,True,231.5,35934 張,-3809(8%)/+19072(21%)/-10465(13%)/+5709(11%)/-24579(34%),-14072(4%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,6,83.3%,21.94%,53.24%,-42.01%,34.15,碰觸BBAND下緣進場,乖離率大於15%停利出場,1303,🟢 已滿足進場條件
1229,聯華,2026-09-22 09:54:39,True,40.0,2541 張,-540(32%)/+183(11%)/+297(6%)/-739(47%)/-1275(36%),-2074(15%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,85.7%,1.29%,4.8%,-4.06%,2.73,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1229,🟢 已滿足進場條件
1326,台化,2026-09-22 09:54:39,True,66.5,11345 張,-2061(13%)/+8650(39%)/-2087(9%)/-1371(14%)/-352(2%),+2779(3%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,0.69%,1.22%,0.1%,0.56,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,1326,🟢 已滿足進場條件
1409,新纖,2026-09-22 09:54:40,True,24.15,4592 張,-924(11%)/+5456(41%)/-1183(16%)/+515(9%)/-2691(30%),+1173(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,21.05%,32.59%,4.55%,14.67,站上60T進場,乖離率大於15%停利出場,1409,🟢 已滿足進場條件
1436,華友聯,2026-09-22 09:54:40,True,36.95,82 張,+16(11%)/+48(55%)/+85(13%)/-68(52%)/+66(29%),+147(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,7,71.4%,0.43%,1.97%,-4.41%,2.29,站上60T進場,碰觸20T(布林中線)以上出場,1436,🟢 已滿足進場條件
1460,宏遠,2026-09-22 09:54:42,True,6.28,121 張,-60(24%)/+47(20%)/+13(9%)/+11(8%)/-19(13%),-8(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,3,100.0%,0.86%,1.25%,0.42%,0.42,站上60T進場,碰觸20T(布林中線)以上出場,1460,🟢 已滿足進場條件
1442,名軒,2026-09-22 09:54:41,True,30.55,863 張,+42(12%)/+260(63%)/-87(7%)/-194(19%)/-504(35%),-483(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,75.0%,1.39%,4.72%,-5.27%,4.52,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1442,🟢 已滿足進場條件
1473,台南,2026-09-22 09:54:42,True,19.5,103 張,-6(22%)/+4(24%)/-15(29%)/-20(59%)/-93(71%),-130(50%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,4,100.0%,5.43%,12.09%,1.38%,4.78,站上60T進場,碰觸20T(布林中線)以上出場,1473,🟢 已滿足進場條件
1476,儒鴻,2026-09-22 09:54:42,True,274.5,1330 張,+57(6%)/-197(23%)/-366(34%)/-687(64%)/-1098(53%),-2291(38%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,83.3%,0.25%,2.57%,-7.23%,3.72,站上60T進場,布林通道觸頂出場,1476,🟢 已滿足進場條件
1504,東元,2026-09-22 09:54:42,True,68.8,3156 張,+1005(20%)/-136(3%)/-3612(44%)/-1318(28%)/-1654(36%),-5715(21%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,30.31%,45.06%,21.19%,12.89,碰觸BBAND下緣進場,乖離率大於15%停利出場,1504,🟢 已滿足進場條件
1563,巧新,2026-09-22 09:54:44,True,72.3,346 張,+86(17%)/+151(46%)/-208(54%)/-141(51%)/-67(11%),-179(8%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,9,77.8%,0.74%,2.64%,-0.88%,1.12,站上60T進場,站上60T出場,1563,🟢 已滿足進場條件
2102,泰豐,2026-09-22 09:54:47,True,16.6,741 張,+26(17%)/+172(81%)/-4043(56%)/-240(18%)/-92(9%),-4177(42%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,2.79%,4.19%,1.57%,1.32,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,2102,🟢 已滿足進場條件
2207,和泰車,2026-09-22 09:54:47,True,521.0,66 張,-105(16%)/+92(39%)/+56(9%)/-97(67%)/-36(27%),-90(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,100.0%,1.21%,2.16%,0.17%,0.9,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2207,🟢 已滿足進場條件
2338,光罩,2026-09-22 09:54:48,True,47.3,4971 張,-266(1%)/-355(1%)/-1206(5%)/-1109(9%)/+904(9%),-2032(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,16,75.0%,1.71%,12.94%,-9.15%,5.45,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2338,🟢 已滿足進場條件
2344,華邦電,2026-09-22 09:54:48,True,171.0,54726 張,+20912(26%)/-9238(8%)/+46055(34%)/-25301(34%)/-8009(8%),+24419(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,5,80.0%,15.34%,61.1%,-38.14%,37.23,站上60T進場,乖離率大於15%停利出場,2344,🟢 已滿足進場條件
2324,仁寶,2026-09-22 09:54:48,True,37.1,18292 張,-3380(15%)/-1059(4%)/-3497(7%)/-10084(37%)/-19530(51%),-37550(23%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,14,71.4%,0.41%,1.6%,-1.44%,0.8,站上60T進場,站上60T出場,2324,🟢 已滿足進場條件
2337,旺宏,2026-09-22 09:54:48,True,118.0,13754 張,+4371(21%)/-3520(12%)/+10490(19%)/-3163(12%)/-3350(14%),+4828(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,6,83.3%,9.0%,30.61%,-20.46%,17.21,站上60T進場,乖離率大於15%停利出場,2337,🟢 已滿足進場條件
2356,英業達,2026-09-22 09:54:49,True,61.3,4783 張,+149(2%)/-220(3%)/-970(4%)/-1427(21%)/-1550(18%),-4018(8%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,11,90.9%,3.9%,12.85%,-0.15%,3.68,站上60T進場,布林通道觸頂出場,2356,🟢 已滿足進場條件
2374,佳能,2026-09-22 09:54:50,True,66.5,1528 張,+903(43%)/+77(6%)/+229(11%)/-192(13%)/-362(18%),+655(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,44,84.1%,1.94%,11.94%,-21.53%,4.9,碰觸BBAND下緣進場,站上60T出場,2374,🟢 已滿足進場條件
2399,映泰,2026-09-22 09:54:51,True,47.45,4588 張,+412(7%)/+4263(24%)/-1610(21%)/+3857(35%)/-2228(28%),+4694(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,4,100.0%,12.4%,33.39%,1.82%,14.73,站上60T進場,乖離率大於15%停利出場,2399,🟢 已滿足進場條件
2408,南亞科,2026-09-22 09:54:52,True,497.0,36909 張,+8138(23%)/+1006(2%)/+37311(49%)/-4306(13%)/-23685(38%),+18464(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,10,90.0%,19.74%,73.21%,-48.14%,30.12,碰觸BBAND下緣進場,乖離率大於15%停利出場,2408,🟢 已滿足進場條件
2453,凌群,2026-09-22 09:54:53,True,54.0,218 張,+252(18%)/-203(26%)/+107(20%)/+5(2%)/+133(38%),+294(9%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,40,75.0%,0.42%,6.96%,-10.84%,3.67,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,2453,🟢 已滿足進場條件
