股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1216,統一,2026-07-22 06:41:04,True,76.1,15925 張,+138(1%)/+13825(45%)/+4114(14%)/+638(3%)/-3147(11%),+15568(12%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,44,77.3%,0.25%,2.58%,-7.17%,2.03,直接進場,站上60T出場,1216,🟢 已滿足進場條件
1234,黑松,2026-07-22 06:41:04,True,33.3,100 張,+9(6%)/+73(57%)/+136(81%)/-10(11%)/-45(35%),+163(24%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,26,73.1%,0.11%,2.11%,-4.49%,1.51,直接進場,站上60T出場,1234,🟢 已滿足進場條件
1423,利華,2026-07-22 06:41:06,True,36.1,30 張,+2(4%)/-8(30%)/-1(3%)/-17(32%)/-11(34%),-35(18%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,11,72.7%,0.1%,6.48%,-10.78%,4.3,直接進場,站上60T出場,1423,🟢 已滿足進場條件
1442,名軒,2026-07-22 06:41:07,True,29.15,379 張,-29(3%)/-115(14%)/+86(16%)/+328(60%)/-146(32%),+124(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,75.0%,1.39%,4.72%,-5.27%,4.52,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1442,🟢 已滿足進場條件
1712,興農,2026-07-22 06:41:11,True,38.9,1980 張,+6(2%)/-4(1%)/+400(38%)/+618(54%)/-891(35%),+129(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,100.0%,1.09%,1.69%,0.54%,0.61,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1712,🟢 已滿足進場條件
1726,永記,2026-07-22 06:41:11,True,75.6,41 張,-2(9%)/+15(7%)/-15(10%)/-42(47%)/-20(36%),-64(12%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,8,100.0%,1.07%,2.49%,0.13%,0.77,碰觸BBAND下緣進場,布林通道觸頂出場,1726,🟢 已滿足進場條件
1723,中碳,2026-07-22 06:41:11,True,85.6,1529 張,+653(31%)/-89(5%)/-57(6%)/+3(0%)/-536(30%),-26(0%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,50,70.0%,0.19%,7.04%,-9.13%,2.28,直接進場,碰觸20T(布林中線)以上出場,1723,🟢 已滿足進場條件
2024,志聯,2026-07-22 06:41:13,True,13.55,11 張,+5(45%)/+3(30%)/+14(56%)/+1(33%)/-5(33%),+18(28%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,15,80.0%,3.53%,11.72%,-8.24%,4.47,碰觸BBAND下緣進場,站上60T出場,2024,🟢 已滿足進場條件
2105,正新,2026-07-22 06:41:14,True,31.55,9642 張,+8824(48%)/+10487(36%)/+2206(17%)/-3779(22%)/-5309(35%),+12429(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,100.0%,2.03%,4.55%,0.78%,1.71,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2105,🟢 已滿足進場條件
2227,裕日車,2026-07-22 06:41:15,True,49.6,17 張,+3(8%)/+30(35%)/+44(70%)/+5(23%)/-7(33%),+75(33%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,3,100.0%,1.24%,1.52%,0.77%,0.41,站上60T進場,站上60T出場,2227,🟢 已滿足進場條件
