股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1339,昭輝,2026-09-24 04:42:46,True,42.4,21 張,+54(61%)/+15(21%)/-1(4%)/+74(54%)/0(0%),+142(41%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,36,80.6%,0.75%,5.57%,-9.72%,3.31,直接進場,站上60T出場,1339,🟢 已滿足進場條件
1419,新紡,2026-09-24 04:42:46,True,65.4,7 張,+38(62%)/+1(6%)/-16(31%)/+5(12%)/-3(39%),+25(14%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,41,85.4%,1.28%,6.82%,-16.04%,3.63,直接進場,站上60T出場,1419,🟢 已滿足進場條件
1453,大將,2026-09-24 04:42:48,True,10.85,21 張,-4(6%)/+2(8%)/-3(9%)/-3(14%)/0(0%),-8(5%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 乖離率大於15%停利出場,4,75.0%,10.61%,44.29%,-37.76%,35.75,直接進場,乖離率大於15%停利出場,1453,🟢 已滿足進場條件
1519,華城,2026-09-24 04:42:49,True,699.0,357 張,+335(27%)/-50(12%)/-18(4%)/-130(23%)/-57(15%),+80(3%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 乖離率大於15%停利出場,3,100.0%,54.25%,128.62%,8.7%,64.95,直接進場,乖離率大於15%停利出場,1519,🟢 已滿足進場條件
1529,樂事綠能,2026-09-24 04:42:49,True,15.5,302 張,+205(15%)/-137(9%)/-180(10%)/+9(1%)/-77(25%),-180(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,7,71.4%,1.76%,14.44%,-11.93%,7.85,站上60T進場,布林通道觸頂出場,1529,🟢 已滿足進場條件
1590,亞德客-KY,2026-09-24 04:42:50,True,1205.0,520 張,-288(20%)/-241(27%)/-189(19%)/-82(13%)/0(0%),-800(18%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,7,85.7%,0.69%,1.92%,0.0%,0.64,站上60T進場,站上60T出場,1590,🟢 已滿足進場條件
1722,台肥,2026-09-24 04:42:52,True,41.3,3830 張,+479(17%)/-693(29%)/-949(21%)/-515(19%)/-1375(35%),-3053(19%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 布林通道觸頂出場,4,100.0%,1.71%,4.77%,0.18%,2.07,站上5T進場,布林通道觸頂出場,1722,🟢 已滿足進場條件
1808,潤隆,2026-09-24 04:42:53,True,31.65,952 張,+2076(48%)/+511(30%)/-201(10%)/-1025(24%)/-39(4%),+1322(10%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,6,83.3%,0.11%,2.48%,-7.08%,3.58,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1808,🟢 已滿足進場條件
1733,五鼎,2026-09-24 04:42:52,True,29.95,23 張,-14(17%)/-6(10%)/-27(48%)/-27(57%)/-8(33%),-82(30%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,85.7%,1.72%,4.65%,-2.66%,2.38,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1733,🟢 已滿足進場條件
2102,泰豐,2026-09-24 04:42:55,True,16.45,698 張,-4043(56%)/-240(18%)/-92(10%)/+84(13%)/-106(15%),-4397(41%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,2.79%,4.19%,1.57%,1.32,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,2102,🟢 已滿足進場條件
2206,三陽工業,2026-09-24 04:42:55,True,63.0,148 張,+19(1%)/+135(33%)/-55(22%)/+133(41%)/-33(21%),+199(6%),[進] 60分K之KD且RSI<20 且 直接進場；[出] KD且RSI大於70且在BBAND中線以上出場,44,72.7%,0.98%,8.79%,-10.21%,3.17,直接進場,KD且RSI大於70且在BBAND中線以上出場,2206,🟢 已滿足進場條件
2207,和泰車,2026-09-24 04:42:55,True,512.0,149 張,+56(9%)/-97(67%)/-36(28%)/-28(14%)/-58(35%),-163(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,1.5%,2.16%,0.78%,0.69,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2207,🟢 已滿足進場條件
