股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1414,東和,2026-08-26 07:06:03,True,18.9,374 張,+13(4%)/+64(15%)/+62(15%)/+22(7%)/-175(23%),-14(1%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,28,78.6%,0.39%,5.03%,-12.68%,4.24,碰觸BBAND下緣進場,站上60T出場,1414,🟢 已滿足進場條件
2605,新興,2026-08-26 07:06:14,True,34.55,9504 張,-4509(15%)/+1664(4%)/-478(2%)/-6371(13%)/-5186(22%),-14880(9%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,34,73.5%,0.77%,6.14%,-8.39%,3.29,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,2605,🟢 已滿足進場條件
2609,陽明,2026-08-26 07:06:14,True,57.4,74024 張,+56807(37%)/+40856(21%)/+29205(17%)/+5529(3%)/-50430(32%),+81967(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,2.29%,6.21%,-3.05%,3.41,站上60T進場,碰觸20T(布林中線)以上出場,2609,🟢 已滿足進場條件
2611,志信,2026-08-26 07:06:14,True,15.2,999 張,-365(9%)/-23(0%)/-577(10%)/-95(2%)/-655(31%),-1715(8%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,37.25%,42.57%,30.75%,5.99,碰觸BBAND下緣進場,乖離率大於15%停利出場,2611,🟢 已滿足進場條件
2615,萬海,2026-08-26 07:06:14,True,114.0,36895 張,+19356(26%)/+18524(21%)/+11049(12%)/+5661(6%)/-24711(30%),+29879(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,17.87%,34.03%,-9.07%,19.21,碰觸BBAND下緣進場,乖離率大於15%停利出場,2615,🟢 已滿足進場條件
2603,長榮,2026-08-26 07:06:14,True,229.5,14830 張,+17044(56%)/+7720(24%)/+9807(45%)/+2918(12%)/-6474(23%),+31015(23%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,38,78.9%,1.02%,9.6%,-16.52%,4.04,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,2603,🟢 已滿足進場條件
2636,台驊控股,2026-08-26 07:06:15,True,69.9,3109 張,+278(26%)/+435(16%)/-803(21%)/+949(36%)/-526(26%),+333(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,83.3%,3.05%,9.0%,-3.12%,4.42,站上60T進場,布林通道觸頂出場,2636,🟢 已滿足進場條件
2832,台產,2026-08-26 07:06:17,True,60.0,144 張,+119(23%)/+49(23%)/+18(14%)/-10(10%)/-18(9%),+158(14%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,34,73.5%,0.49%,7.01%,-11.22%,2.86,直接進場,站上60T出場,2832,🟢 已滿足進場條件
6176,瑞儀,2026-08-26 07:06:26,True,98.3,1240 張,0(0%)/0(0%)/-985(23%)/-791(25%)/-875(35%),-2651(26%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,83.3%,1.58%,9.38%,-4.52%,4.53,站上60T進場,布林通道觸頂出場,6176,🟢 已滿足進場條件
6921,嘉雨思-創,2026-08-26 07:06:30,True,66.3,7 張,-9(45%)/-3(43%)/-4(44%)/+2(22%)/-1(25%),-15(31%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,10,90.0%,4.48%,20.94%,-5.24%,6.59,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,6921,🟢 已滿足進場條件
