股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1303,南亞,2026-07-29 03:35:01,True,143.5,88829 張,-17891(15%)/+3748(5%)/+16104(22%)/+3878(9%)/-21572(23%),-15733(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,8,87.5%,4.04%,17.01%,-5.83%,6.6,站上60T進場,布林通道觸頂出場,1303,🟢 已滿足進場條件
1310,台苯,2026-07-29 03:35:02,True,7.35,17080 張,-1547(21%)/-1077(34%)/+215(4%)/+81(3%)/-4497(19%),-6825(16%),[進] 60分K之KD且RSI<20 且 直接進場；[出] KD且RSI大於70且在BBAND中線以上出場,38,71.1%,0.18%,12.21%,-17.57%,6.14,直接進場,KD且RSI大於70且在BBAND中線以上出場,1310,🟢 已滿足進場條件
1307,三芳,2026-07-29 03:35:02,True,30.3,761 張,+164(35%)/-126(29%)/-451(68%)/-118(20%)/-223(29%),-754(26%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,85.7%,3.47%,11.48%,-4.36%,5.02,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1307,🟢 已滿足進場條件
1313,聯成,2026-07-29 03:35:02,True,10.5,4766 張,-946(10%)/-1644(45%)/-2402(33%)/-1470(34%)/-1122(23%),-7584(26%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,3.81%,5.75%,1.97%,1.89,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,1313,🟢 已滿足進場條件
1339,昭輝,2026-07-29 03:35:04,True,43.15,110 張,-6(12%)/-18(32%)/+6(10%)/-11(24%)/-32(28%),-61(19%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,36,80.6%,0.86%,5.57%,-9.72%,3.37,直接進場,站上60T出場,1339,🟢 已滿足進場條件
1337,再生-KY,2026-07-29 03:35:04,True,4.61,484 張,-106(39%)/-181(55%)/-157(37%)/-198(44%)/-78(16%),-720(36%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,0.27%,2.17%,-4.41%,2.66,站上60T進場,碰觸20T(布林中線)以上出場,1337,🟢 已滿足進場條件
1455,集盛,2026-07-29 03:35:07,True,8.63,773 張,+50(5%)/+151(46%)/-80(15%)/-12(2%)/-202(26%),-93(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,2.57%,11.98%,-4.67%,6.02,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1455,🟢 已滿足進場條件
1515,力山,2026-07-29 03:35:08,True,28.05,2171 張,+751(13%)/-463(11%)/+928(35%)/+1148(44%)/-524(22%),+1840(10%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,100.0%,3.56%,11.85%,0.59%,4.7,站上60T進場,布林通道觸頂出場,1515,🟢 已滿足進場條件
1532,勤美,2026-07-29 03:35:08,True,22.15,437 張,-43(18%)/+61(16%)/-645(51%)/-23(2%)/-110(24%),-760(21%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,100.0%,3.36%,4.02%,2.79%,0.45,站上60T進場,布林通道觸頂出場,1532,🟢 已滿足進場條件
1528,恩德,2026-07-29 03:35:08,True,16.7,1340 張,+163(18%)/+219(23%)/+140(16%)/+373(24%)/-360(26%),+535(9%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 乖離率大於15%停利出場,8,87.5%,12.58%,32.17%,-18.51%,15.03,直接進場,乖離率大於15%停利出場,1528,🟢 已滿足進場條件
