股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1234,黑松,2026-06-30 11:31:57,True,33.25,160 張,+191(64%)/+69(30%)/-28(5%)/-11(5%)/-91(44%),+130(9%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,26,76.9%,0.09%,2.11%,-4.49%,1.48,直接進場,站上60T出場,1234,🟢 已滿足進場條件
1723,中碳,2026-06-30 11:32:00,True,82.1,422 張,+84(18%)/-267(31%)/+213(31%)/-17(4%)/-277(49%),-264(9%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,49,71.4%,0.21%,7.04%,-9.13%,2.29,直接進場,碰觸20T(布林中線)以上出場,1723,🟢 已滿足進場條件
2030,彰源,2026-06-30 11:32:02,True,18.15,838 張,-783(35%)/-118(9%)/+68(7%)/+21(2%)/-186(15%),-998(15%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,8,87.5%,0.67%,3.27%,-3.48%,1.92,站上60T進場,碰觸20T(布林中線)以上出場,2030,🟢 已滿足進場條件
2031,新光鋼,2026-06-30 11:32:02,True,37.85,734 張,+1(0%)/-59(8%)/-45(6%)/-133(30%)/-730(66%),-966(25%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,32,71.9%,0.13%,7.68%,-14.65%,4.71,碰觸BBAND下緣進場,站上60T出場,2031,🟢 已滿足進場條件
1817,凱撒衛,2026-06-30 11:32:01,True,38.5,56 張,+7(21%)/-1(3%)/+11(12%)/-3(1%)/-12(9%),+2(0%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,100.0%,0.52%,0.87%,0.12%,0.36,站上60T進場,碰觸20T(布林中線)以上出場,1817,🟢 已滿足進場條件
2207,和泰車,2026-06-30 11:32:03,True,470.5,313 張,-144(36%)/+44(10%)/+199(31%)/-15(3%)/-308(50%),-224(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,1.35%,2.16%,0.17%,1.05,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2207,🟢 已滿足進場條件
2380,虹光,2026-06-30 11:32:06,True,19.35,192 張,0(0%)/0(0%)/0(0%)/+1(0%)/0(0%),+1(0%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,7,71.4%,7.31%,40.85%,-62.51%,34.59,碰觸BBAND下緣進場,乖離率大於15%停利出場,2380,🟢 已滿足進場條件
6592,和潤企業,2026-06-30 11:32:19,True,58.6,1377 張,-402(41%)/-278(34%)/-590(42%)/-448(35%)/-120(6%),-1838(28%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,1.94%,3.78%,0.64%,1.64,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,6592,🟢 已滿足進場條件
6691,洋基工程,2026-06-30 11:32:19,True,769.0,1010 張,+148(12%)/+392(23%)/+367(22%)/+12(1%)/-330(19%),+589(7%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,9,88.9%,3.68%,14.08%,-2.71%,4.62,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,6691,🟢 已滿足進場條件
9931,欣高,2026-06-30 11:32:24,True,33.2,86 張,+10(34%)/-24(29%)/-54(30%)/-20(26%)/-20(16%),-108(22%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,17,76.5%,1.49%,13.13%,-3.34%,3.55,碰觸BBAND下緣進場,站上60T出場,9931,🟢 已滿足進場條件
