股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1220,台榮,2026-06-25 10:30:54,True,11.55,64 張,+2(3%)/-11(14%)/-6(8%)/+2(2%)/-3(4%),-16(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,6,83.3%,0.43%,1.22%,0.0%,0.41,站上60T進場,站上60T出場,1220,🟢 已滿足進場條件
1528,恩德,2026-06-25 10:30:57,True,24.3,1403 張,+53(2%)/+436(15%)/-988(26%)/-285(12%)/-386(19%),-1170(8%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,10,90.0%,5.95%,15.55%,-4.56%,6.45,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1528,🟢 已滿足進場條件
1525,江申,2026-06-25 10:30:57,True,63.7,9 張,-1(7%)/+1(8%)/+6(46%)/-2(11%)/+1(5%),+5(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,0.77%,2.58%,-1.92%,1.69,站上60T進場,碰觸20T(布林中線)以上出場,1525,🟢 已滿足進場條件
1582,信錦,2026-06-25 10:30:58,True,88.0,1209 張,+503(21%)/-2(0%)/-189(8%)/+62(4%)/-733(42%),-359(3%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,1.43%,3.57%,0.17%,1.86,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,1582,🟢 已滿足進場條件
1725,元禎,2026-06-25 10:31:00,True,35.1,181 張,+140(19%)/-15(6%)/+4(0%)/+50(9%)/-58(23%),+121(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,6,83.3%,16.07%,31.47%,-17.75%,18.85,站上60T進場,乖離率大於15%停利出場,1725,🟢 已滿足進場條件
2030,彰源,2026-06-25 10:31:01,True,19.0,842 張,+515(41%)/+2238(44%)/+838(20%)/-783(35%)/-118(9%),+2690(19%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,8,87.5%,0.67%,3.27%,-3.48%,1.92,站上60T進場,碰觸20T(布林中線)以上出場,2030,🟢 已滿足進場條件
2233,宇隆,2026-06-25 10:31:03,True,230.5,5470 張,-31(5%)/-142(12%)/-617(31%)/-22(2%)/-74(1%),-886(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,100.0%,43.63%,88.94%,16.27%,31.89,碰觸BBAND下緣進場,乖離率大於15%停利出場,2233,🟢 已滿足進場條件
2248,華勝-KY,2026-06-25 10:31:03,True,54.2,30 張,+4(40%)/-14(45%)/-20(35%)/-16(31%)/-7(22%),-53(29%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,10,90.0%,3.53%,5.84%,-0.4%,1.74,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,2248,🟢 已滿足進場條件
2328,廣宇,2026-06-25 10:31:04,True,50.7,2097 張,+300(6%)/+1221(20%)/-183(4%)/-928(22%)/-478(13%),-68(0%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] MACD柱狀體翻綠出場,4,100.0%,2.36%,3.56%,0.98%,1.13,站上5T進場,MACD柱狀體翻綠出場,2328,🟢 已滿足進場條件
2337,旺宏,2026-06-25 10:31:04,True,161.5,89146 張,+31274(25%)/+15244(11%)/+2239(1%)/-2683(2%)/-61353(38%),-15279(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,5,100.0%,14.9%,30.61%,1.69%,10.48,站上60T進場,乖離率大於15%停利出場,2337,🟢 已滿足進場條件
2349,錸德,2026-06-25 10:31:05,True,13.35,2096 張,+1511(31%)/+1165(20%)/+503(12%)/-125(4%)/-692(22%),+2362(11%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,5.84%,22.17%,-35.61%,27.71,碰觸BBAND下緣進場,乖離率大於15%停利出場,2349,🟢 已滿足進場條件
2359,所羅門,2026-06-25 10:31:05,True,133.0,999 張,+282(12%)/+454(18%)/+396(10%)/-386(15%)/-255(14%),+491(4%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,35.71%,38.37%,32.44%,3.01,碰觸BBAND下緣進場,乖離率大於15%停利出場,2359,🟢 已滿足進場條件
2357,華碩,2026-06-25 10:31:05,True,747.0,3240 張,-2690(41%)/-825(25%)/-1236(20%)/-977(20%)/-981(16%),-6709(25%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,31,71.0%,0.27%,10.1%,-21.25%,6.6,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,2357,🟢 已滿足進場條件
2362,藍天,2026-06-25 10:31:05,True,43.7,1259 張,+376(18%)/-65(4%)/-446(25%)/+227(13%)/-748(36%),-656(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,12.88%,32.59%,-22.82%,24.68,碰觸BBAND下緣進場,乖離率大於15%停利出場,2362,🟢 已滿足進場條件
2367,燿華,2026-06-25 10:31:06,True,57.0,7297 張,-2247(13%)/+2510(12%)/-1988(10%)/-732(5%)/-1209(10%),-3666(4%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,43.41%,53.16%,35.88%,8.85,碰觸BBAND下緣進場,乖離率大於15%停利出場,2367,🟢 已滿足進場條件
2388,威盛,2026-06-25 10:31:07,True,75.8,3799 張,+7939(30%)/+3523(15%)/+6423(25%)/-1408(12%)/-744(10%),+15733(17%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,42,78.6%,2.76%,14.22%,-20.62%,5.87,碰觸BBAND下緣進場,站上60T出場,2388,🟢 已滿足進場條件
2413,環科,2026-06-25 10:31:08,True,50.7,973 張,-552(17%)/-130(4%)/-445(9%)/-614(26%)/-439(26%),-2180(14%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 乖離率大於15%停利出場,3,100.0%,19.69%,26.77%,5.75%,12.07,站上5T進場,乖離率大於15%停利出場,2413,🟢 已滿足進場條件
2426,鼎元,2026-06-25 10:31:09,True,85.2,7727 張,+12519(32%)/+9774(26%)/+6860(15%)/-2695(9%)/-4811(22%),+21647(13%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,100.0%,25.08%,42.47%,6.24%,13.14,碰觸BBAND下緣進場,乖離率大於15%停利出場,2426,🟢 已滿足進場條件
2434,統懋,2026-06-25 10:31:09,True,40.95,223 張,+4(1%)/+68(5%)/+116(18%)/-27(2%)/-118(20%),+43(1%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,18,100.0%,3.46%,10.48%,0.36%,3.08,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,2434,🟢 已滿足進場條件
2486,一詮,2026-06-25 10:31:11,True,249.0,2825 張,+1290(12%)/+1490(8%)/+5(0%)/-2369(30%)/-1119(23%),-703(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,100.0%,38.85%,61.15%,26.5%,15.65,碰觸BBAND下緣進場,乖離率大於15%停利出場,2486,🟢 已滿足進場條件
2489,瑞軒,2026-06-25 10:31:11,True,46.1,6240 張,-3682(14%)/+8928(14%)/-7066(19%)/-2202(11%)/-1607(12%),-5629(4%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,6,83.3%,23.12%,51.28%,-24.54%,30.04,碰觸BBAND下緣進場,乖離率大於15%停利出場,2489,🟢 已滿足進場條件
2514,龍邦,2026-06-25 10:31:12,True,13.2,183 張,-25(16%)/-12(9%)/+32(23%)/+14(5%)/-22(7%),-13(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,3,100.0%,3.78%,5.23%,2.61%,1.33,站上60T進場,碰觸20T(布林中線)以上出場,2514,🟢 已滿足進場條件
2515,中工,2026-06-25 10:31:12,True,13.05,6537 張,-983(5%)/+4134(30%)/-5560(49%)/-503(10%)/-440(5%),-3352(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,1.54%,10.36%,-6.94%,6.12,站上60T進場,碰觸20T(布林中線)以上出場,2515,🟢 已滿足進場條件
