股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1402,遠東新,2026-08-25 04:51:11,True,29.1,8739 張,+7179(54%)/+24243(64%)/+25585(64%)/-99(0%)/-2561(30%),+54347(43%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,38,81.6%,0.47%,8.05%,-11.5%,3.49,直接進場,站上60T出場,1402,🟢 已滿足進場條件
1307,三芳,2026-08-25 04:51:10,True,30.6,417 張,-38(10%)/+114(26%)/+385(53%)/-143(28%)/-98(23%),+220(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,85.7%,3.47%,11.48%,-4.36%,5.02,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1307,🟢 已滿足進場條件
1530,亞崴,2026-08-25 04:51:13,True,28.85,11 張,-4(14%)/+20(25%)/+2(9%)/-8(40%)/-1(8%),+9(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,100.0%,1.7%,3.41%,0.16%,1.45,站上60T進場,碰觸20T(布林中線)以上出場,1530,🟢 已滿足進場條件
1736,喬山,2026-08-25 04:51:15,True,127.0,149 張,+18(6%)/+64(12%)/+253(52%)/-103(37%)/-27(17%),+205(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,100.0%,5.78%,14.43%,0.66%,5.09,站上60T進場,布林通道觸頂出場,1736,🟢 已滿足進場條件
1722,台肥,2026-08-25 04:51:15,True,44.5,3375 張,-393(20%)/+532(14%)/-25(1%)/-1632(34%)/-99(4%),-1617(10%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 布林通道觸頂出場,3,100.0%,1.99%,4.77%,0.18%,2.45,站上5T進場,布林通道觸頂出場,1722,🟢 已滿足進場條件
1776,展宇,2026-08-25 04:51:15,True,16.7,9 張,+3(5%)/-9(16%)/-7(20%)/-6(14%)/-2(15%),-21(10%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,75.0%,0.96%,5.26%,-3.34%,3.55,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1776,🟢 已滿足進場條件
2072,世紀風電,2026-08-25 04:51:17,True,148.5,193 張,-8(2%)/+32(20%)/+108(27%)/-223(45%)/-42(21%),-133(8%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,9,77.8%,1.22%,4.57%,-4.78%,2.86,直接進場,碰觸20T(布林中線)以上出場,2072,🟢 已滿足進場條件
2468,華經,2026-08-25 04:51:21,True,33.35,222 張,-3(2%)/+18(11%)/+28(10%)/-36(25%)/-24(16%),-17(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,5,80.0%,9.81%,46.87%,-9.42%,21.52,站上60T進場,乖離率大於15%停利出場,2468,🟢 已滿足進場條件
3004,豐達科,2026-08-25 04:51:25,True,117.0,387 張,-12(6%)/-32(19%)/-104(55%)/-41(31%)/-89(35%),-278(29%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,10,70.0%,0.27%,7.08%,-11.92%,5.95,站上60T進場,布林通道觸頂出場,3004,🟢 已滿足進場條件
3617,碩天,2026-08-25 04:51:28,True,247.0,1652 張,-83(9%)/-41(7%)/-139(11%)/-167(17%)/-130(22%),-560(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,100.0%,2.76%,3.51%,1.19%,1.06,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,3617,🟢 已滿足進場條件
3669,圓展,2026-08-25 04:51:28,True,36.1,448 張,+71(25%)/+82(28%)/-13(6%)/-41(27%)/-68(30%),+31(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,71.4%,3.3%,10.0%,-3.18%,5.17,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,3669,🟢 已滿足進場條件
4137,麗豐-KY,2026-08-25 04:51:29,True,87.5,163 張,-11(6%)/+59(28%)/-27(20%)/-199(49%)/-54(26%),-232(20%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,75.0%,0.75%,2.39%,-1.38%,1.59,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,4137,🟢 已滿足進場條件
4736,泰博,2026-08-25 04:51:30,True,137.5,365 張,+190(36%)/+128(24%)/-174(39%)/-108(28%)/-88(23%),-52(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70出場,21,71.4%,0.37%,3.2%,-14.18%,3.77,碰觸BBAND下緣進場,KD且RSI大於70出場,4736,🟢 已滿足進場條件
4763,材料*-KY,2026-08-25 04:51:30,True,44.8,10584 張,-12(0%)/-375(11%)/+193(3%)/-4397(25%)/-2608(24%),-7199(18%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,34,70.6%,0.8%,10.13%,-17.61%,5.55,碰觸BBAND下緣進場,站上60T出場,4763,🟢 已滿足進場條件
5706,鳳凰,2026-08-25 04:51:33,True,45.0,56 張,+72(64%)/+61(43%)/+82(35%)/-25(33%)/-11(19%),+179(29%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,8,87.5%,2.05%,4.89%,-3.33%,2.57,站上60T進場,布林通道觸頂出場,5706,🟢 已滿足進場條件
6176,瑞儀,2026-08-25 04:51:34,True,99.7,2629 張,0(0%)/0(0%)/0(0%)/-985(23%)/-721(25%),-1706(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,83.3%,1.58%,9.38%,-4.52%,4.53,站上60T進場,布林通道觸頂出場,6176,🟢 已滿足進場條件
6215,和椿,2026-08-25 04:51:35,True,93.8,433 張,-305(27%)/-211(14%)/-195(28%)/-103(26%)/-118(26%),-932(22%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,12,83.3%,2.51%,10.53%,-5.15%,4.67,站上60T進場,碰觸20T(布林中線)以上出場,6215,🟢 已滿足進場條件
6414,樺漢,2026-08-25 04:51:35,True,390.0,640 張,+916(26%)/-261(14%)/-115(13%)/-4(1%)/-147(22%),+389(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,9,100.0%,4.22%,12.37%,0.65%,3.92,站上60T進場,布林通道觸頂出場,6414,🟢 已滿足進場條件
6715,嘉基,2026-08-25 04:51:38,True,363.5,700 張,-271(10%)/+475(15%)/-334(17%)/-8(1%)/-275(35%),-413(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,7,71.4%,4.77%,22.6%,-7.9%,9.8,站上60T進場,布林通道觸頂出場,6715,🟢 已滿足進場條件
6921,嘉雨思-創,2026-08-25 04:51:39,True,67.3,8 張,-9(26%)/-9(45%)/-3(43%)/-4(44%)/-4(44%),-29(36%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,10,90.0%,4.48%,20.94%,-5.24%,6.59,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,6921,🟢 已滿足進場條件
6901,鑽石投資,2026-08-25 04:51:39,True,16.3,836 張,-130(14%)/+849(42%)/+844(41%)/-1067(62%)/-179(21%),+317(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,9,77.8%,1.33%,7.54%,-6.56%,4.17,站上60T進場,碰觸20T(布林中線)以上出場,6901,🟢 已滿足進場條件
7769,鴻勁,2026-08-25 04:51:40,True,6100.0,334 張,+64(15%)/+7(2%)/-3(1%)/-28(12%)/-67(19%),-27(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,8,100.0%,7.84%,17.49%,1.24%,5.88,碰觸BBAND下緣進場,站上60T出場,7769,🟢 已滿足進場條件
8222,寶一,2026-08-25 04:51:41,True,38.3,230 張,-145(16%)/+73(7%)/-34(6%)/+29(7%)/-27(12%),-104(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,12,83.3%,1.32%,8.59%,0.0%,2.5,站上60T進場,站上60T出場,8222,🟢 已滿足進場條件
8467,波力-KY,2026-08-25 04:51:42,True,90.3,12 張,0(0%)/+5(18%)/+1(25%)/-2(25%)/-5(39%),-1(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,6,100.0%,26.74%,39.88%,12.85%,10.49,碰觸BBAND下緣進場,乖離率大於15%停利出場,8467,🟢 已滿足進場條件
9958,世紀鋼,2026-08-25 04:51:44,True,94.3,1886 張,-902(39%)/+61(4%)/-57(4%)/-1478(31%)/-539(27%),-2915(25%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,100.0%,6.4%,12.33%,1.32%,4.01,站上60T進場,布林通道觸頂出場,9958,🟢 已滿足進場條件
