股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
3209,全科,2026-06-12 00:00:38,True,61.7,2248 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,10,90.0%,2.41%,9.22%,-4.02%,3.9,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,3209,🟢 已滿足進場條件
3376,新日興,2026-06-12 00:00:38,True,203.5,5131 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,13,84.6%,2.19%,7.13%,-8.35%,3.79,站上60T進場,碰觸20T(布林中線)以上出場,3376,🟢 已滿足進場條件
3518,柏騰,2026-06-12 00:00:38,True,26.8,749 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,9,77.8%,2.72%,9.06%,-0.79%,3.19,站上60T進場,碰觸20T(布林中線)以上出場,3518,🟢 已滿足進場條件
3673,TPK-KY,2026-06-12 00:00:39,True,78.6,8901 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,13,76.9%,1.01%,17.35%,-9.43%,6.53,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,3673,🟢 已滿足進場條件
4555,氣立,2026-06-12 00:00:39,True,45.1,239 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,25,72.0%,0.97%,8.21%,-18.26%,5.34,碰觸BBAND下緣進場,站上60T出場,4555,🟢 已滿足進場條件
4720,德淵,2026-06-12 00:00:39,True,23.35,878 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,8,75.0%,3.38%,10.67%,-9.95%,6.75,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,4720,🟢 已滿足進場條件
4943,康控-KY,2026-06-12 00:00:40,True,8.99,63 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,22,81.8%,3.5%,12.73%,-13.85%,6.42,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,4943,🟢 已滿足進場條件
6112,邁達特,2026-06-12 00:00:40,True,46.65,549 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,13,92.3%,2.71%,6.65%,-2.32%,2.28,站上60T進場,碰觸20T(布林中線)以上出場,6112,🟢 已滿足進場條件
6136,富爾特,2026-06-12 00:00:40,True,24.95,344 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,5,100.0%,0.4%,0.59%,0.25%,0.15,站上60T進場,站上60T出場,6136,🟢 已滿足進場條件
6192,巨路,2026-06-12 00:00:40,True,117.5,1111 張,[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,42,78.6%,1.36%,13.11%,-10.09%,3.4,直接進場,站上60T出場,6192,🟢 已滿足進場條件
6283,淳安,2026-06-12 00:00:40,True,23.05,424 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,41,70.7%,1.45%,11.01%,-10.91%,4.57,碰觸BBAND下緣進場,站上60T出場,6283,🟢 已滿足進場條件
6412,群電,2026-06-12 00:00:40,True,86.6,2761 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,100.0%,4.65%,7.44%,2.58%,2.04,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,6412,🟢 已滿足進場條件
6415,矽力*-KY,2026-06-12 00:00:40,True,492.0,3289 張,[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,6.47%,8.37%,3.07%,2.95,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,6415,🟢 已滿足進場條件
6451,訊芯-KY,2026-06-12 00:00:40,True,499.5,689 張,[進] 60分K之KD且RSI<20 且 直接進場；[出] 乖離率大於15%停利出場,12,91.7%,19.37%,33.83%,-25.69%,15.84,直接進場,乖離率大於15%停利出場,6451,🟢 已滿足進場條件
6525,捷敏-KY,2026-06-12 00:00:40,True,114.0,813 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,7,100.0%,3.13%,5.99%,0.88%,1.9,站上60T進場,布林通道觸頂出場,6525,🟢 已滿足進場條件
6505,台塑化,2026-06-12 00:00:40,True,50.8,7124 張,[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,51,72.5%,0.31%,10.33%,-15.5%,4.83,直接進場,站上60T出場,6505,🟢 已滿足進場條件
6689,伊雲谷,2026-06-12 00:00:41,True,66.8,251 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,40,72.5%,1.08%,13.33%,-9.18%,5.15,碰觸BBAND下緣進場,站上60T出場,6689,🟢 已滿足進場條件
6835,圓裕,2026-06-12 00:00:41,True,36.2,64 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,100.0%,1.96%,3.01%,0.75%,0.93,站上60T進場,碰觸20T(布林中線)以上出場,6835,🟢 已滿足進場條件
6796,晉弘,2026-06-12 00:00:41,True,57.5,81 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,4,75.0%,0.6%,0.99%,0.0%,0.45,站上60T進場,站上60T出場,6796,🟢 已滿足進場條件
6988,威力暘-創,2026-06-12 00:00:42,True,14.1,28 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,10,70.0%,1.16%,10.49%,-34.18%,13.53,碰觸BBAND下緣進場,布林通道觸頂出場,6988,🟢 已滿足進場條件
7795,長廣,2026-06-12 00:00:42,True,341.5,300 張,[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,8,87.5%,5.6%,14.83%,-0.54%,4.75,直接進場,站上60T出場,7795,🟢 已滿足進場條件
7610,聯友金屬-創,2026-06-12 00:00:42,True,1555.0,113 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,11.91%,18.13%,5.88%,6.13,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,7610,🟢 已滿足進場條件
6951,青新-創,2026-06-12 00:00:41,True,78.3,81 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,3.4%,5.69%,1.97%,2.0,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,6951,🟢 已滿足進場條件
9103,美德醫療-DR,2026-06-12 00:00:42,True,5.75,1875 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,2.95%,18.75%,-24.16%,19.45,碰觸BBAND下緣進場,乖離率大於15%停利出場,9103,🟢 已滿足進場條件
