股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1110,東泥,2026-08-24 04:06:46,True,15.85,115 張,-66(19%)/-16(3%)/+59(58%)/+50(18%)/-31(36%),-4(0%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,8,87.5%,0.72%,1.48%,0.0%,0.44,站上60T進場,站上60T出場,1110,🟢 已滿足進場條件
1231,聯華食,2026-08-24 04:06:47,True,81.2,211 張,+209(52%)/+228(38%)/-90(31%)/+29(14%)/-64(29%),+312(18%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,6,83.3%,0.42%,4.15%,-4.05%,2.63,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1231,🟢 已滿足進場條件
1437,勤益控,2026-08-24 04:06:49,True,31.9,84 張,-12(8%)/+330(66%)/+47(23%)/+14(19%)/-11(21%),+368(38%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,33,72.7%,0.08%,3.16%,-4.31%,1.86,直接進場,碰觸20T(布林中線)以上出場,1437,🟢 已滿足進場條件
1527,鑽全,2026-08-24 04:06:50,True,32.5,123 張,+129(71%)/+8(7%)/+26(38%)/-10(28%)/-29(23%),+124(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,10,80.0%,0.04%,0.94%,-2.72%,1.0,站上60T進場,站上60T出場,1527,🟢 已滿足進場條件
1583,程泰,2026-08-24 04:06:51,True,51.0,53 張,+4(29%)/-5(33%)/+34(17%)/-30(13%)/-14(36%),-11(2%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 站上60T出場,4,100.0%,2.2%,4.84%,1.24%,1.76,站上5T進場,站上60T出場,1583,🟢 已滿足進場條件
1737,臺鹽,2026-08-24 04:06:52,True,30.95,436 張,-28(25%)/+20(14%)/+42(11%)/-114(15%)/0(0%),-80(4%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,23,82.6%,0.13%,1.41%,-6.48%,1.56,直接進場,站上60T出場,1737,🟢 已滿足進場條件
2033,佳大,2026-08-24 04:06:54,True,21.75,1583 張,+63(7%)/+145(10%)/+64(9%)/-21(7%)/-43(9%),+208(6%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,100.0%,17.12%,43.66%,0.7%,18.5,碰觸BBAND下緣進場,乖離率大於15%停利出場,2033,🟢 已滿足進場條件
2049,上銀,2026-08-24 04:06:54,True,347.5,1839 張,-576(15%)/+611(9%)/-847(7%)/-1271(25%)/-625(32%),-2708(9%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,49,77.6%,0.44%,14.22%,-33.28%,6.64,直接進場,站上60T出場,2049,🟢 已滿足進場條件
2331,精英,2026-08-24 04:06:57,True,19.7,547 張,-792(21%)/-618(22%)/+667(26%)/-393(30%)/-197(35%),-1333(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,9,77.8%,1.92%,6.13%,-3.8%,3.26,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2331,🟢 已滿足進場條件
2359,所羅門,2026-08-24 04:06:57,True,147.5,4439 張,+201(1%)/-4222(17%)/+1237(7%)/-2188(21%)/-780(19%),-5752(6%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,33.9%,38.37%,30.9%,3.94,碰觸BBAND下緣進場,乖離率大於15%停利出場,2359,🟢 已滿足進場條件
