股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1476,儒鴻,2026-09-07 04:32:17,True,306.0,1228 張,+171(21%)/-41(9%)/+648(58%)/+304(35%)/-437(35%),+645(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,83.3%,0.25%,2.57%,-7.23%,3.72,站上60T進場,布林通道觸頂出場,1476,🟢 已滿足進場條件
1529,樂事綠能,2026-09-07 04:32:17,True,16.15,247 張,+4(1%)/-68(24%)/-136(23%)/-95(19%)/-94(35%),-389(20%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,7,71.4%,1.76%,14.44%,-11.93%,7.85,站上60T進場,布林通道觸頂出場,1529,🟢 已滿足進場條件
2025,千興,2026-09-07 04:32:21,True,12.4,283 張,+52(9%)/+57(33%)/+23(7%)/-50(20%)/-67(23%),+15(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,0.92%,4.39%,-5.53%,3.82,站上60T進場,碰觸20T(布林中線)以上出場,2025,🟢 已滿足進場條件
2101,南港,2026-09-07 04:32:21,True,31.05,1183 張,-142(13%)/+506(41%)/+258(23%)/-96(13%)/-361(30%),+165(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,83.3%,1.04%,2.21%,-0.65%,0.97,站上60T進場,碰觸20T(布林中線)以上出場,2101,🟢 已滿足進場條件
2417,圓剛,2026-09-07 04:32:24,True,40.05,991 張,+20(6%)/+218(49%)/-64(10%)/+24(6%)/-312(29%),-114(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,19,84.2%,2.11%,9.96%,-12.11%,5.42,站上60T進場,碰觸20T(布林中線)以上出場,2417,🟢 已滿足進場條件
2434,統懋,2026-09-07 04:32:25,True,64.3,389 張,-13(3%)/-130(5%)/-308(9%)/-192(11%)/-131(27%),-774(9%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,24,95.8%,4.96%,24.7%,-18.45%,7.28,直接進場,布林通道觸頂出場,2434,🟢 已滿足進場條件
2459,敦吉,2026-09-07 04:32:26,True,65.7,70 張,-20(37%)/+6(10%)/+9(20%)/+20(39%)/-21(29%),-6(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,7,100.0%,0.88%,2.09%,0.29%,0.62,站上60T進場,碰觸20T(布林中線)以上出場,2459,🟢 已滿足進場條件
2498,宏達電,2026-09-07 04:32:27,True,41.1,2436 張,+1535(33%)/-87(1%)/-778(6%)/-2071(22%)/-877(31%),-2278(6%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,6.14%,8.48%,2.06%,3.54,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,2498,🟢 已滿足進場條件
2851,中再保,2026-09-07 04:32:30,True,44.6,3382 張,-252(9%)/+780(40%)/+1334(35%)/-281(11%)/-1049(31%),+532(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,80.0%,0.43%,7.13%,-11.89%,7.21,站上60T進場,布林通道觸頂出場,2851,🟢 已滿足進場條件
3003,健和興,2026-09-07 04:32:31,True,59.5,2260 張,-173(31%)/-27(7%)/-70(9%)/-112(31%)/-744(31%),-1126(25%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,5,80.0%,0.31%,0.91%,0.0%,0.35,站上60T進場,站上60T出場,3003,🟢 已滿足進場條件
