股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1210,大成,2026-08-04 03:33:26,True,55.4,2124 張,+470(14%)/+472(37%)/-2865(57%)/-553(28%)/-569(25%),-3045(22%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,28,75.0%,0.36%,2.94%,-6.46%,1.86,碰觸BBAND下緣進場,站上60T出場,1210,🟢 已滿足進場條件
1101,台泥,2026-08-04 03:33:26,True,23.55,11763 張,+1376(3%)/+2003(8%)/+2823(12%)/-23763(58%)/-2205(17%),-19766(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,1.38%,3.06%,-1.21%,1.58,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1101,🟢 已滿足進場條件
1217,愛之味,2026-08-04 03:33:27,True,9.79,504 張,+392(41%)/+81(17%)/-147(15%)/-256(42%)/-133(25%),-63(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,19,73.7%,0.7%,5.26%,-5.45%,2.7,碰觸BBAND下緣進場,站上60T出場,1217,🟢 已滿足進場條件
1232,大統益,2026-08-04 03:33:27,True,150.5,228 張,+102(24%)/+110(39%)/-22(7%)/-122(45%)/-84(35%),-16(1%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,19,89.5%,0.66%,2.14%,-2.25%,0.95,碰觸BBAND下緣進場,站上60T出場,1232,🟢 已滿足進場條件
1225,福懋油,2026-08-04 03:33:27,True,23.9,147 張,+110(41%)/+177(38%)/-100(26%)/-82(26%)/-65(35%),+40(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,4,75.0%,3.32%,12.19%,-13.67%,11.59,站上60T進場,布林通道觸頂出場,1225,🟢 已滿足進場條件
1537,廣隆,2026-08-04 03:33:32,True,125.5,102 張,+34(23%)/+22(29%)/+13(14%)/-21(29%)/-13(12%),+35(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,30,90.0%,1.25%,9.77%,-0.75%,1.79,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,1537,🟢 已滿足進場條件
1604,聲寶,2026-08-04 03:33:33,True,23.1,127 張,+416(66%)/+477(50%)/-52(8%)/-40(22%)/-20(12%),+781(31%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,18,72.2%,0.05%,3.68%,-8.38%,2.79,碰觸BBAND下緣進場,站上60T出場,1604,🟢 已滿足進場條件
1726,永記,2026-08-04 03:33:34,True,76.4,19 張,+47(49%)/-3(5%)/+2(15%)/-3(9%)/-5(20%),+38(17%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,7,100.0%,0.87%,1.83%,0.13%,0.55,碰觸BBAND下緣進場,布林通道觸頂出場,1726,🟢 已滿足進場條件
1722,台肥,2026-08-04 03:33:34,True,45.1,2769 張,+347(7%)/+956(55%)/+1428(41%)/-878(51%)/-339(12%),+1514(10%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 布林通道觸頂出場,3,100.0%,1.99%,4.77%,0.18%,2.45,站上5T進場,布林通道觸頂出場,1722,🟢 已滿足進場條件
1808,潤隆,2026-08-04 03:33:35,True,31.75,1448 張,+444(33%)/+702(29%)/+1019(30%)/-476(23%)/-436(27%),+1253(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,6,83.3%,0.11%,2.48%,-7.08%,3.58,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1808,🟢 已滿足進場條件
