股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1101,台泥,2026-09-03 09:43:51,True,24.45,16808 張,+4586(27%)/-5266(1%)/+23554(22%)/-24205(56%)/-5784(24%),-7115(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,1.38%,3.06%,-1.21%,1.58,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1101,🟢 已滿足進場條件
1220,台榮,2026-09-03 09:43:51,True,10.65,75 張,+12(11%)/+4(2%)/+11(9%)/+1(3%)/+1(1%),+29(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,24,83.3%,0.7%,4.19%,-6.67%,1.83,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,1220,🟢 已滿足進場條件
1225,福懋油,2026-09-03 09:43:51,True,24.9,144 張,+7(2%)/-18(33%)/+24(11%)/-24(22%)/-3(2%),-14(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,4,75.0%,3.32%,12.19%,-13.67%,11.59,站上60T進場,布林通道觸頂出場,1225,🟢 已滿足進場條件
1319,東陽,2026-09-03 09:43:53,True,81.2,1204 張,+759(27%)/+379(30%)/+922(51%)/+271(24%)/-468(25%),+1863(21%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,100.0%,3.79%,6.51%,1.77%,1.89,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1319,🟢 已滿足進場條件
1409,新纖,2026-09-03 09:43:54,True,24.7,9565 張,-3426(18%)/+1283(11%)/-11539(18%)/-1945(8%)/-3537(15%),-19164(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,21.05%,32.59%,4.55%,14.67,站上60T進場,乖離率大於15%停利出場,1409,🟢 已滿足進場條件
1414,東和,2026-09-03 09:43:54,True,18.15,117 張,+131(24%)/-28(12%)/-102(51%)/-19(8%)/-67(33%),-85(6%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,28,78.6%,0.39%,5.03%,-12.68%,4.24,碰觸BBAND下緣進場,站上60T出場,1414,🟢 已滿足進場條件
1447,力鵬,2026-09-03 09:43:55,True,6.77,963 張,-137(12%)/-160(21%)/+145(9%)/+58(7%)/-316(19%),-410(7%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,11,81.8%,2.01%,9.18%,-5.85%,3.69,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1447,🟢 已滿足進場條件
1517,利奇,2026-09-03 09:43:57,True,10.85,435 張,-102(27%)/-22(19%)/-51(22%)/+1(0%)/-97(18%),-271(17%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,44,70.5%,0.12%,5.8%,-23.0%,4.59,直接進場,站上60T出場,1517,🟢 已滿足進場條件
1515,力山,2026-09-03 09:43:57,True,31.0,581 張,-608(9%)/-263(14%)/-53(4%)/-155(15%)/-330(24%),-1409(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,100.0%,4.25%,11.83%,1.12%,5.07,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1515,🟢 已滿足進場條件
1524,耿鼎,2026-09-03 09:43:57,True,26.8,254 張,+21(10%)/+52(29%)/+67(24%)/+66(25%)/+85(20%),+291(21%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,43,79.1%,1.17%,10.57%,-12.24%,4.43,碰觸BBAND下緣進場,站上60T出場,1524,🟢 已滿足進場條件
1526,日馳,2026-09-03 09:43:57,True,15.5,332 張,-7(6%)/-23(10%)/+1(1%)/-5(2%)/+18(5%),-16(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,100.0%,2.27%,9.39%,0.16%,4.0,站上60T進場,碰觸20T(布林中線)以上出場,1526,🟢 已滿足進場條件
1533,車王電,2026-09-03 09:43:58,True,30.85,44 張,-10(12%)/-75(39%)/+34(27%)/+21(24%)/-28(42%),-58(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,8,87.5%,1.14%,2.02%,-0.66%,0.81,站上60T進場,碰觸20T(布林中線)以上出場,1533,🟢 已滿足進場條件
