股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1210,大成,2026-08-07 03:13:39,True,52.3,2639 張,-553(28%)/-1422(34%)/-2123(51%)/-1013(19%)/-803(27%),-5914(32%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,28,75.0%,0.4%,2.94%,-6.46%,1.86,碰觸BBAND下緣進場,站上60T出場,1210,🟢 已滿足進場條件
1419,新紡,2026-08-07 03:13:41,True,64.0,24 張,+48(24%)/-64(21%)/-39(22%)/-34(32%)/-4(16%),-93(11%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,41,85.4%,1.53%,11.16%,-16.04%,3.94,直接進場,站上60T出場,1419,🟢 已滿足進場條件
1713,國化,2026-08-07 03:13:44,True,43.65,71 張,-92(46%)/-88(38%)/+4(1%)/-264(66%)/-13(17%),-453(31%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,7,71.4%,0.2%,0.6%,-0.35%,0.32,站上60T進場,站上60T出場,1713,🟢 已滿足進場條件
2347,聯強,2026-08-07 03:13:49,True,91.3,2047 張,-289(11%)/+92(4%)/+674(9%)/+1385(27%)/-325(14%),+1537(8%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,25,72.0%,0.33%,5.85%,-11.56%,3.86,碰觸BBAND下緣進場,站上60T出場,2347,🟢 已滿足進場條件
2414,精技,2026-08-07 03:13:51,True,55.4,318 張,-68(26%)/+168(39%)/+92(24%)/-425(16%)/-105(31%),-338(8%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,0.61%,1.76%,-0.69%,0.88,站上60T進場,碰觸20T(布林中線)以上出場,2414,🟢 已滿足進場條件
2454,聯發科,2026-08-07 03:13:52,True,3910.0,3124 張,+1450(22%)/+558(3%)/+1644(15%)/-1178(17%)/-990(29%),+1484(3%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,71.59%,182.88%,0.26%,97.65,碰觸BBAND下緣進場,乖離率大於15%停利出場,2454,🟢 已滿足進場條件
2483,百容,2026-08-07 03:13:53,True,36.7,724 張,-19(5%)/-9(4%)/-2190(43%)/-243(10%)/-270(31%),-2731(30%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,83.3%,1.31%,5.84%,-2.86%,2.98,站上60T進場,碰觸20T(布林中線)以上出場,2483,🟢 已滿足進場條件
2496,卓越,2026-08-07 03:13:53,True,58.8,10 張,+1(10%)/+6(35%)/+5(10%)/-2(6%)/-2(11%),+8(6%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,26,80.8%,1.21%,9.74%,-3.89%,2.26,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,2496,🟢 已滿足進場條件
2834,臺企銀,2026-08-07 03:13:55,True,16.45,18830 張,-27856(32%)/-30640(40%)/-24473(55%)/-23637(61%)/-3411(17%),-110017(42%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,8,75.0%,0.95%,3.25%,-3.8%,2.21,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2834,🟢 已滿足進場條件
2801,彰銀,2026-08-07 03:13:55,True,23.1,9470 張,-19725(38%)/-35770(51%)/-24498(37%)/-5678(16%)/-1191(12%),-86862(37%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,36,80.6%,0.75%,6.4%,-1.92%,1.33,直接進場,站上60T出場,2801,🟢 已滿足進場條件
2883,凱基金,2026-08-07 03:13:56,True,30.35,12384 張,+2347(4%)/+7275(20%)/+37269(57%)/-17375(38%)/-3926(30%),+25590(12%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,24,95.8%,1.6%,7.61%,-13.5%,3.63,碰觸BBAND下緣進場,站上60T出場,2883,🟢 已滿足進場條件
3004,豐達科,2026-08-07 03:13:57,True,125.5,330 張,-427(24%)/+316(24%)/+324(54%)/+162(24%)/-121(35%),+254(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,10,70.0%,0.27%,7.08%,-11.92%,5.95,站上60T進場,布林通道觸頂出場,3004,🟢 已滿足進場條件
3032,偉訓,2026-08-07 03:13:58,True,83.1,277 張,-27(8%)/+66(23%)/+706(29%)/-35(2%)/-71(24%),+639(13%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,33,75.8%,0.2%,6.76%,-31.46%,6.75,碰觸BBAND下緣進場,站上60T出場,3032,🟢 已滿足進場條件
3231,緯創,2026-08-07 03:13:59,True,183.5,35549 張,+25306(16%)/+23976(16%)/+38106(19%)/-11081(13%)/-8487(22%),+67820(11%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 站上60T出場,3,100.0%,4.06%,6.23%,2.39%,1.97,站上5T進場,站上60T出場,3231,🟢 已滿足進場條件
4169,泰宗,2026-08-07 03:14:01,True,153.0,95 張,-45(16%)/-12(6%)/-10(9%)/+3(3%)/-39(35%),-103(13%),[進] 60分K之KD且RSI<20 且 直接進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,5.93%,11.11%,1.9%,4.71,直接進場,KD且RSI大於70且在BBAND中線以上出場,4169,🟢 已滿足進場條件
3704,合勤控,2026-08-07 03:14:01,True,46.2,1073 張,+953(30%)/+318(7%)/+2297(54%)/-754(25%)/-284(26%),+2530(16%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,33,72.7%,1.87%,11.91%,-13.42%,6.09,碰觸BBAND下緣進場,布林通道觸頂出場,3704,🟢 已滿足進場條件
4764,雙鍵,2026-08-07 03:14:02,True,236.5,2206 張,-224(10%)/-159(9%)/-84(5%)/-242(13%)/-800(35%),-1509(16%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,6,100.0%,21.32%,35.04%,4.22%,12.37,碰觸BBAND下緣進場,乖離率大於15%停利出場,4764,🟢 已滿足進場條件
4807,日成-KY,2026-08-07 03:14:02,True,33.6,92 張,+4(4%)/-21(23%)/-54(44%)/-76(20%)/-17(18%),-164(20%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 乖離率大於15%停利出場,7,85.7%,18.24%,50.64%,-39.22%,29.9,直接進場,乖離率大於15%停利出場,4807,🟢 已滿足進場條件
4906,正文,2026-08-07 03:14:02,True,34.65,2243 張,+1494(38%)/+640(19%)/-269(7%)/-2778(23%)/-662(28%),-1575(6%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,2.11%,2.24%,2.03%,0.11,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,4906,🟢 已滿足進場條件
4938,和碩,2026-08-07 03:14:03,True,87.2,1818 張,+4368(34%)/+5599(37%)/+5490(38%)/-340(5%)/-357(19%),+14760(29%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,7,100.0%,3.99%,5.95%,1.7%,1.79,站上60T進場,布林通道觸頂出場,4938,🟢 已滿足進場條件
4915,致伸,2026-08-07 03:14:02,True,60.7,3111 張,-512(28%)/-998(32%)/+129(5%)/-53(1%)/-981(30%),-2415(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,0.76%,3.82%,-8.42%,5.2,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,4915,🟢 已滿足進場條件
4968,立積,2026-08-07 03:14:03,True,96.5,227 張,-117(21%)/+156(22%)/+200(25%)/-95(19%)/-56(24%),+88(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,10,70.0%,1.78%,9.28%,-7.94%,5.76,站上60T進場,布林通道觸頂出場,4968,🟢 已滿足進場條件
5258,虹堡,2026-08-07 03:14:04,True,51.7,145 張,+186(38%)/+61(11%)/+36(5%)/-64(13%)/-30(20%),+189(8%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,11,90.9%,0.68%,2.0%,0.0%,0.63,站上60T進場,站上60T出場,5258,🟢 已滿足進場條件
6005,群益證,2026-08-07 03:14:05,True,34.2,3818 張,+84(1%)/-696(10%)/-2778(30%)/-3403(50%)/-1376(35%),-8169(23%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,9,77.8%,1.96%,6.93%,-4.28%,3.5,站上60T進場,布林通道觸頂出場,6005,🟢 已滿足進場條件
6285,啟碁,2026-08-07 03:14:07,True,239.0,3496 張,+749(13%)/+1392(18%)/+410(4%)/-1433(11%)/-1206(32%),-88(0%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,52,76.9%,1.31%,9.45%,-10.34%,3.8,直接進場,站上60T出場,6285,🟢 已滿足進場條件
6573,虹揚-KY,2026-08-07 03:14:07,True,16.95,77 張,-68(15%)/-128(27%)/-218(47%)/+45(14%)/-24(30%),-393(22%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,27,81.5%,3.0%,13.79%,-6.54%,4.8,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,6573,🟢 已滿足進場條件
6743,安普新,2026-08-07 03:14:09,True,24.9,179 張,-182(26%)/-176(34%)/-81(28%)/-190(36%)/-52(28%),-681(31%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,35,80.0%,0.66%,17.76%,-25.67%,6.65,碰觸BBAND下緣進場,站上60T出場,6743,🟢 已滿足進場條件
6789,采鈺,2026-08-07 03:14:09,True,425.5,1516 張,+26(2%)/+157(13%)/+97(7%)/-31(3%)/-571(35%),-322(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,31.27%,35.01%,28.13%,3.48,碰觸BBAND下緣進場,乖離率大於15%停利出場,6789,🟢 已滿足進場條件
8367,建新國際,2026-08-07 03:14:12,True,40.0,10 張,-2(18%)/+3(11%)/-6(27%)/-10(20%)/-5(37%),-20(16%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,36,83.3%,0.73%,4.59%,-10.73%,2.46,直接進場,碰觸20T(布林中線)以上出場,8367,🟢 已滿足進場條件
8481,政伸,2026-08-07 03:14:12,True,39.9,36 張,+4(57%)/+1(8%)/-4(23%)/+1(14%)/+6(14%),+8(9%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,29,75.9%,0.73%,7.39%,-4.07%,1.9,直接進場,碰觸20T(布林中線)以上出場,8481,🟢 已滿足進場條件
