股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
2049,上銀,2026-08-21 04:51:33,True,348.5,4171 張,+1807(26%)/-576(15%)/+611(9%)/-847(7%)/-1433(33%),-438(1%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,49,77.6%,0.44%,14.22%,-33.28%,6.64,直接進場,站上60T出場,2049,🟢 已滿足進場條件
2305,全友,2026-08-21 04:51:34,True,25.9,2156 張,-322(8%)/-160(5%)/-347(13%)/-554(26%)/-520(31%),-1903(14%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,13.8%,41.09%,-44.52%,39.94,碰觸BBAND下緣進場,乖離率大於15%停利出場,2305,🟢 已滿足進場條件
2312,金寶,2026-08-21 04:51:34,True,30.95,4615 張,-781(5%)/-2467(19%)/+3212(32%)/-6625(54%)/-1065(22%),-7726(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,5,80.0%,26.13%,41.09%,-3.71%,19.1,站上60T進場,乖離率大於15%停利出場,2312,🟢 已滿足進場條件
2233,宇隆,2026-08-21 04:51:34,True,176.5,734 張,-36(6%)/-22(3%)/-69(10%)/-24(2%)/-248(31%),-399(10%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,80.0%,24.9%,47.19%,-8.28%,22.08,碰觸BBAND下緣進場,乖離率大於15%停利出場,2233,🟢 已滿足進場條件
2332,友訊,2026-08-21 04:51:35,True,20.15,9736 張,-6287(28%)/-1738(8%)/-3016(24%)/-1520(12%)/-3230(31%),-15791(20%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,30.14%,36.65%,21.15%,8.04,站上60T進場,乖離率大於15%停利出場,2332,🟢 已滿足進場條件
2368,金像電,2026-08-21 04:51:36,True,962.0,11081 張,+194(3%)/-561(4%)/-1607(16%)/-1057(14%)/-1905(33%),-4936(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,6,100.0%,5.69%,10.18%,3.17%,2.68,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2368,🟢 已滿足進場條件
2383,台光電,2026-08-21 04:51:37,True,5665.0,1681 張,+251(15%)/+275(16%)/-131(5%)/+628(26%)/-621(35%),+402(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,12,91.7%,4.31%,7.89%,-0.69%,2.31,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2383,🟢 已滿足進場條件
2395,研華,2026-08-21 04:51:37,True,646.0,3247 張,+1054(31%)/+261(7%)/+112(2%)/-479(14%)/-754(28%),+194(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,100.0%,5.15%,9.9%,0.26%,4.05,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2395,🟢 已滿足進場條件
2375,凱美,2026-08-21 04:51:36,True,121.5,1508 張,-136(4%)/+183(6%)/-275(3%)/-129(4%)/-459(29%),-816(4%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,100.0%,24.83%,34.91%,11.68%,9.65,碰觸BBAND下緣進場,乖離率大於15%停利出場,2375,🟢 已滿足進場條件
2472,立隆電,2026-08-21 04:51:39,True,218.0,799 張,+245(19%)/+138(6%)/+88(3%)/-247(11%)/-262(31%),-38(0%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,50,70.0%,0.07%,8.77%,-40.5%,7.02,直接進場,站上60T出場,2472,🟢 已滿足進場條件
