股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1713,國化,2026-09-18 04:37:53,True,41.4,255 張,-144(18%)/-66(15%)/-66(37%)/-66(26%)/-67(23%),-409(21%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,7,71.4%,0.2%,0.6%,-0.35%,0.32,站上60T進場,站上60T出場,1713,🟢 已滿足進場條件
6272,驊陞,2026-09-18 04:38:12,True,26.65,315 張,+23(10%)/+11(5%)/+137(27%)/-93(21%)/-89(27%),-11(1%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,13,76.9%,0.13%,9.29%,-16.72%,7.24,直接進場,站上60T出場,6272,🟢 已滿足進場條件
6431,光麗-KY,2026-09-18 04:38:12,True,17.0,118 張,-5(6%)/-2(25%)/-4(15%)/+4(11%)/-38(30%),-45(16%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,25.02%,41.44%,14.9%,14.34,站上60T進場,乖離率大於15%停利出場,6431,🟢 已滿足進場條件
