股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1460,宏遠,2026-08-06 06:43:23,True,6.56,254 張,+216(27%)/+25(8%)/+48(16%)/-16(6%)/-150(35%),+123(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,4,100.0%,0.71%,1.25%,0.26%,0.46,站上60T進場,碰觸20T(布林中線)以上出場,1460,🟢 已滿足進場條件
1438,三地開發,2026-08-06 06:43:22,True,22.2,28 張,+41(52%)/+67(23%)/-18(20%)/+2(3%)/-3(9%),+89(16%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] MACD柱狀體翻綠出場,3,100.0%,3.42%,7.19%,1.06%,3.3,站上5T進場,MACD柱狀體翻綠出場,1438,🟢 已滿足進場條件
1810,和成,2026-08-06 06:43:27,True,24.45,1662 張,+1967(14%)/-1507(17%)/-1038(12%)/+41(1%)/-918(25%),-1455(4%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,6.74%,7.52%,5.31%,1.24,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,1810,🟢 已滿足進場條件
2072,世紀風電,2026-08-06 06:43:28,True,151.5,694 張,+6(1%)/-40(9%)/+244(40%)/+87(17%)/-224(17%),+73(2%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,8,75.0%,1.29%,4.57%,-4.78%,3.05,直接進場,碰觸20T(布林中線)以上出場,2072,🟢 已滿足進場條件
2062,橋椿,2026-08-06 06:43:28,True,18.65,66 張,+17(3%)/+84(30%)/+100(52%)/+46(37%)/-38(35%),+209(17%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,80.0%,0.52%,4.57%,-9.11%,5.53,站上60T進場,布林通道觸頂出場,2062,🟢 已滿足進場條件
2305,全友,2026-08-06 06:43:30,True,26.45,733 張,+1421(15%)/+1189(11%)/-2032(21%)/-219(2%)/0(0%),+359(1%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,13.8%,41.09%,-44.52%,39.94,碰觸BBAND下緣進場,乖離率大於15%停利出場,2305,🟢 已滿足進場條件
2440,太空梭,2026-08-06 06:43:32,True,14.95,111 張,-80(11%)/-112(29%)/+26(13%)/-32(15%)/+46(18%),-152(9%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,34,70.6%,1.21%,6.74%,-5.73%,2.48,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,2440,🟢 已滿足進場條件
2610,華航,2026-08-06 06:43:35,True,22.15,16599 張,+13936(21%)/+1235(3%)/+40123(52%)/+7539(26%)/-6891(29%),+55942(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,100.0%,2.06%,3.69%,0.21%,1.3,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2610,🟢 已滿足進場條件
2801,彰銀,2026-08-06 06:43:36,True,23.15,25024 張,+12114(31%)/+6434(9%)/-19725(39%)/-24498(0%)/-12791(35%),-38466(19%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,36,80.6%,0.75%,6.4%,-1.92%,1.33,直接進場,站上60T出場,2801,🟢 已滿足進場條件
2832,台產,2026-08-06 06:43:37,True,57.7,274 張,+119(32%)/+125(42%)/+315(62%)/+16(7%)/-112(30%),+463(26%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,33,72.7%,0.47%,7.01%,-11.22%,2.91,直接進場,站上60T出場,2832,🟢 已滿足進場條件
