股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
2233,宇隆,2026-08-20 04:50:03,True,183.5,752 張,-154(25%)/-36(6%)/-22(3%)/-69(10%)/-250(32%),-531(15%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,80.0%,24.9%,47.19%,-8.28%,22.08,碰觸BBAND下緣進場,乖離率大於15%停利出場,2233,🟢 已滿足進場條件
2305,全友,2026-08-20 04:50:03,True,26.65,1518 張,-1794(18%)/-322(8%)/-160(5%)/-347(13%)/-292(19%),-2915(14%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,13.8%,41.09%,-44.52%,39.94,碰觸BBAND下緣進場,乖離率大於15%停利出場,2305,🟢 已滿足進場條件
2454,聯發科,2026-08-20 04:50:06,True,3715.0,9611 張,+350(4%)/-400(4%)/-1575(19%)/-1528(25%)/-2106(21%),-5259(12%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,71.59%,182.88%,0.26%,97.65,碰觸BBAND下緣進場,乖離率大於15%停利出場,2454,🟢 已滿足進場條件
2491,吉祥全,2026-08-20 04:50:07,True,35.9,808 張,-24(12%)/-3(0%)/-88(4%)/-70(8%)/-254(29%),-439(8%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,21,76.2%,2.05%,11.76%,-11.74%,5.85,碰觸BBAND下緣進場,站上60T出場,2491,🟢 已滿足進場條件
3003,健和興,2026-08-20 04:50:10,True,64.0,286 張,-191(14%)/-74(8%)/+365(30%)/-459(48%)/-87(28%),-446(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,5,80.0%,0.31%,0.91%,0.0%,0.35,站上60T進場,站上60T出場,3003,🟢 已滿足進場條件
3605,宏致,2026-08-20 04:50:14,True,108.5,8250 張,+2418(13%)/-57(1%)/+4468(38%)/-266(4%)/-2480(29%),+4083(8%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,64.23%,120.49%,32.89%,48.84,碰觸BBAND下緣進場,乖離率大於15%停利出場,3605,🟢 已滿足進場條件
6606,建德工業,2026-08-20 04:50:21,True,26.0,79 張,+71(32%)/-18(18%)/-2(1%)/-18(47%)/-33(35%),0(0%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,16,81.2%,1.99%,12.2%,-2.04%,3.41,碰觸BBAND下緣進場,布林通道觸頂出場,6606,🟢 已滿足進場條件
6902,GOGOLOOK,2026-08-20 04:50:23,True,127.0,48 張,+48(36%)/+14(7%)/-14(35%)/-33(40%)/-13(25%),+2(0%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,18,72.2%,2.69%,10.64%,-9.05%,5.85,碰觸BBAND下緣進場,布林通道觸頂出場,6902,🟢 已滿足進場條件
7610,聯友金屬-創,2026-08-20 04:50:24,True,1555.0,563 張,+67(29%)/+96(40%)/-46(7%)/-42(7%)/-140(24%),-65(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,4.28%,7.46%,1.81%,2.89,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,7610,🟢 已滿足進場條件
8210,勤誠,2026-08-20 04:50:25,True,965.0,1013 張,-304(16%)/-31(5%)/-26(2%)/-291(15%)/-305(29%),-957(14%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,40,72.5%,2.52%,15.73%,-17.54%,7.33,直接進場,布林通道觸頂出場,8210,🟢 已滿足進場條件
