股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1215,卜蜂,2026-07-20 04:03:41,True,109.0,680 張,+311(25%)/+21(4%)/+806(49%)/+929(49%)/-247(35%),+1820(30%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,32,71.9%,0.29%,4.92%,-9.12%,3.11,直接進場,碰觸20T(布林中線)以上出場,1215,🟢 已滿足進場條件
1307,三芳,2026-07-20 04:03:41,True,31.3,689 張,+214(29%)/-109(10%)/+64(13%)/-115(12%)/-257(35%),-203(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,8,87.5%,3.66%,11.48%,-4.36%,4.67,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1307,🟢 已滿足進場條件
1308,亞聚,2026-07-20 04:03:41,True,14.1,1088 張,-391(12%)/+317(14%)/-480(18%)/+1330(27%)/-259(22%),+517(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,71.4%,1.61%,9.89%,-1.23%,3.77,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1308,🟢 已滿足進場條件
1319,東陽,2026-07-20 04:03:42,True,72.2,2342 張,+27(1%)/-654(34%)/-460(29%)/-471(19%)/-490(21%),-2048(19%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,6,100.0%,3.67%,6.51%,1.77%,1.71,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1319,🟢 已滿足進場條件
1337,再生-KY,2026-07-20 04:03:43,True,4.87,285 張,-46(11%)/+155(27%)/-31(12%)/-23(5%)/-63(22%),-8(0%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,0.27%,2.17%,-4.41%,2.66,站上60T進場,碰觸20T(布林中線)以上出場,1337,🟢 已滿足進場條件
1417,嘉裕,2026-07-20 04:03:45,True,8.61,106 張,-56(16%)/+117(37%)/+67(43%)/+1(0%)/-34(30%),+95(8%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,25,72.0%,0.32%,7.02%,-11.85%,4.24,直接進場,站上60T出場,1417,🟢 已滿足進場條件
1435,中福,2026-07-20 04:03:45,True,20.65,31 張,0(0%)/-1(10%)/-2(29%)/-6(38%)/-12(35%),-21(27%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,11,81.8%,5.23%,16.13%,-8.13%,7.69,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,1435,🟢 已滿足進場條件
1447,力鵬,2026-07-20 04:03:46,True,7.72,1348 張,+429(14%)/+61(2%)/-269(8%)/+149(7%)/-466(32%),-96(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,11,81.8%,2.01%,9.18%,-5.85%,3.69,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1447,🟢 已滿足進場條件
1597,直得,2026-07-20 04:03:48,True,120.5,1641 張,+244(19%)/+419(41%)/+5(1%)/+79(8%)/-213(13%),+534(10%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,33,87.9%,2.06%,13.89%,-32.44%,6.99,碰觸BBAND下緣進場,站上60T出場,1597,🟢 已滿足進場條件
1587,吉茂,2026-07-20 04:03:48,True,24.95,149 張,-30(6%)/+72(47%)/+25(16%)/-3(0%)/-45(30%),+19(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,8,87.5%,6.84%,12.97%,-0.65%,4.74,站上60T進場,布林通道觸頂出場,1587,🟢 已滿足進場條件
