股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1215,卜蜂,2026-08-03 03:50:48,True,102.5,1203 張,+254(17%)/+290(33%)/+150(32%)/-952(68%)/-296(23%),-554(10%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,34,70.6%,0.34%,4.92%,-9.12%,3.03,直接進場,碰觸20T(布林中線)以上出場,1215,🟢 已滿足進場條件
1203,味王,2026-08-03 03:50:48,True,48.0,13 張,+47(63%)/+66(46%)/-19(28%)/+7(50%)/-5(35%),+96(31%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,3,100.0%,2.01%,2.54%,1.73%,0.46,站上60T進場,碰觸20T(布林中線)以上出場,1203,🟢 已滿足進場條件
1101,台泥,2026-08-03 03:50:48,True,23.85,22859 張,+17967(36%)/+1376(3%)/+2003(8%)/+2823(12%)/-9065(35%),+15104(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,1.38%,3.06%,-1.21%,1.58,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1101,🟢 已滿足進場條件
1216,統一,2026-08-03 03:50:48,True,72.8,7633 張,+4399(27%)/+4007(17%)/+24547(66%)/+13251(39%)/-2463(30%),+43741(37%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,43,76.7%,0.21%,2.58%,-7.17%,2.03,直接進場,站上60T出場,1216,🟢 已滿足進場條件
1326,台化,2026-08-03 03:50:52,True,55.9,18760 張,-51(0%)/+920(2%)/-7444(17%)/-7984(17%)/-4631(23%),-19190(10%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,0.69%,1.22%,0.1%,0.56,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,1326,🟢 已滿足進場條件
2002,中鋼,2026-08-03 03:50:56,True,18.8,11680 張,+6993(19%)/+9901(18%)/+14144(37%)/+9268(25%)/-4584(35%),+35722(20%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 布林通道觸頂出場,4,75.0%,0.85%,2.72%,-1.66%,1.9,站上5T進場,布林通道觸頂出場,2002,🟢 已滿足進場條件
2013,中鋼構,2026-08-03 03:50:56,True,40.35,67 張,+32(26%)/-3(2%)/+59(37%)/+18(24%)/-28(35%),+78(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,3,100.0%,0.57%,0.8%,0.18%,0.34,站上60T進場,站上60T出場,2013,🟢 已滿足進場條件
2608,嘉里大榮,2026-08-03 03:51:02,True,28.95,163 張,+54(24%)/+646(71%)/+73(18%)/-251(47%)/-15(7%),+507(22%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,4,75.0%,0.93%,2.75%,-0.8%,1.48,站上60T進場,碰觸20T(布林中線)以上出場,2608,🟢 已滿足進場條件
2704,國賓,2026-08-03 03:51:03,True,46.95,58 張,+67(35%)/+65(25%)/+32(18%)/+3(3%)/-19(31%),+148(19%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,5.06%,13.65%,0.68%,7.44,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2704,🟢 已滿足進場條件
2727,王品,2026-08-03 03:51:03,True,228.5,242 張,+510(60%)/+391(59%)/+992(83%)/+558(49%)/-88(35%),+2363(57%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,3.77%,6.19%,0.46%,2.97,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,2727,🟢 已滿足進場條件
2912,統一超,2026-08-03 03:51:05,True,221.0,1165 張,-226(9%)/+705(14%)/+3276(47%)/+1956(32%)/-522(35%),+5189(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,100.0%,0.91%,1.14%,0.71%,0.2,站上60T進場,碰觸20T(布林中線)以上出場,2912,🟢 已滿足進場條件
6505,台塑化,2026-08-03 03:51:14,True,68.4,19931 張,+5953(20%)/-859(2%)/-4781(12%)/-8763(13%)/-3209(15%),-11659(6%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,53,73.6%,0.46%,10.33%,-15.5%,4.72,直接進場,站上60T出場,6505,🟢 已滿足進場條件
6790,永豐實,2026-08-03 03:51:16,True,38.35,191 張,+113(54%)/+153(67%)/+109(62%)/+11(8%)/-41(21%),+345(36%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,30,76.7%,0.63%,8.16%,-7.76%,2.45,碰觸BBAND下緣進場,站上60T出場,6790,🟢 已滿足進場條件
