股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1435,中福,2026-08-18 05:42:30,True,23.55,9 張,+3(10%)/+46(70%)/-1(17%)/+4(80%)/-4(34%),+48(41%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,12,83.3%,4.88%,16.13%,-8.13%,7.43,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,1435,🟢 已滿足進場條件
1540,喬福,2026-08-18 05:42:31,True,19.0,100 張,+33(19%)/-275(64%)/+11(7%)/+9(12%)/-23(15%),-245(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,9,88.9%,5.81%,18.63%,-9.08%,8.13,站上60T進場,布林通道觸頂出場,1540,🟢 已滿足進場條件
1605,華新,2026-08-18 05:42:32,True,37.1,14141 張,+44269(47%)/+18138(31%)/+3561(9%)/+863(3%)/-6419(33%),+60412(25%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,100.0%,1.87%,5.03%,0.19%,2.17,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,1605,🟢 已滿足進場條件
1608,華榮,2026-08-18 05:42:32,True,35.3,1824 張,+9289(48%)/-3230(32%)/+545(12%)/-716(18%)/-932(32%),+4956(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,9,77.8%,2.22%,8.7%,-4.14%,4.14,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1608,🟢 已滿足進場條件
1617,榮星,2026-08-18 05:42:32,True,17.7,265 張,+283(49%)/+127(13%)/+177(27%)/+44(8%)/-97(22%),+534(17%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,7,71.4%,0.59%,7.59%,-10.99%,6.33,站上60T進場,碰觸20T(布林中線)以上出場,1617,🟢 已滿足進場條件
1731,美吾華,2026-08-18 05:42:34,True,20.65,72 張,+4(4%)/-22(23%)/-4(10%)/+26(22%)/-30(35%),-26(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,1.2%,1.62%,0.89%,0.38,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1731,🟢 已滿足進場條件
1713,國化,2026-08-18 05:42:33,True,44.05,38 張,+114(33%)/-21(4%)/-80(52%)/-298(69%)/-36(35%),-321(21%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,7,71.4%,0.2%,0.6%,-0.35%,0.32,站上60T進場,站上60T出場,1713,🟢 已滿足進場條件
1773,勝一,2026-08-18 05:42:34,True,155.0,187 張,-34(7%)/-101(27%)/-221(43%)/-35(11%)/-70(21%),-461(23%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,27,77.8%,1.47%,7.83%,-8.84%,3.23,碰觸BBAND下緣進場,站上60T出場,1773,🟢 已滿足進場條件
1802,台玻,2026-08-18 05:42:35,True,56.5,11911 張,+2391(6%)/+496(3%)/+2893(11%)/+3330(11%)/-9331(33%),-221(0%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,100.0%,20.63%,28.02%,15.16%,5.88,碰觸BBAND下緣進場,乖離率大於15%停利出場,1802,🟢 已滿足進場條件
2072,世紀風電,2026-08-18 05:42:37,True,151.0,146 張,-51(15%)/-87(28%)/-52(11%)/-59(36%)/-85(35%),-334(22%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,9,77.8%,1.22%,4.57%,-4.78%,2.86,直接進場,碰觸20T(布林中線)以上出場,2072,🟢 已滿足進場條件
