股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1220,台榮,2026-07-24 03:39:10,True,11.3,19 張,+34(30%)/+4(14%)/-16(36%)/-6(19%)/-7(35%),+9(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,6,83.3%,0.43%,1.22%,0.0%,0.41,站上60T進場,站上60T出場,1220,🟢 已滿足進場條件
1308,亞聚,2026-07-24 03:39:11,True,13.95,1949 張,+114(6%)/+53(4%)/+567(32%)/-1767(30%)/-739(32%),-1772(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,71.4%,1.61%,9.89%,-1.23%,3.77,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1308,🟢 已滿足進場條件
1307,三芳,2026-07-24 03:39:11,True,32.0,261 張,+145(10%)/+330(73%)/+192(35%)/+164(35%)/-78(29%),+753(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,85.7%,3.47%,11.48%,-4.36%,5.02,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1307,🟢 已滿足進場條件
1414,東和,2026-07-24 03:39:13,True,17.4,60 張,+95(34%)/-16(12%)/-72(35%)/-37(25%)/-15(21%),-45(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,26,76.9%,0.19%,5.03%,-12.68%,4.33,碰觸BBAND下緣進場,站上60T出場,1414,🟢 已滿足進場條件
1437,勤益控,2026-07-24 03:39:14,True,30.85,73 張,+142(63%)/+134(47%)/+55(18%)/-1(1%)/-29(35%),+301(30%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,34,70.6%,0.06%,3.16%,-4.31%,1.83,直接進場,碰觸20T(布林中線)以上出場,1437,🟢 已滿足進場條件
1460,宏遠,2026-07-24 03:39:15,True,6.81,283 張,+8(1%)/-46(12%)/-134(31%)/-65(14%)/-137(35%),-374(17%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,4,100.0%,0.71%,1.25%,0.26%,0.46,站上60T進場,碰觸20T(布林中線)以上出場,1460,🟢 已滿足進場條件
1515,力山,2026-07-24 03:39:17,True,34.05,3260 張,+361(14%)/-778(28%)/-1109(14%)/+751(13%)/-739(22%),-1514(7%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,100.0%,3.56%,11.85%,0.59%,4.7,站上60T進場,布林通道觸頂出場,1515,🟢 已滿足進場條件
1475,業旺,2026-07-24 03:39:16,True,26.55,5 張,+3(17%)/+9(24%)/+2(25%)/-2(8%)/-2(33%),+10(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,5,80.0%,0.81%,2.01%,0.0%,0.81,站上60T進場,站上60T出場,1475,🟢 已滿足進場條件
1454,台富,2026-07-24 03:39:15,True,12.35,23 張,+16(53%)/+3(34%)/-3(9%)/+1(33%)/-10(35%),+7(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,22,81.8%,2.21%,11.0%,-6.19%,3.61,碰觸BBAND下緣進場,站上60T出場,1454,🟢 已滿足進場條件
1522,堤維西,2026-07-24 03:39:17,True,27.8,432 張,+44(11%)/-245(44%)/-233(42%)/-143(35%)/-128(29%),-705(30%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,42,78.6%,1.0%,14.88%,-22.78%,6.39,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,1522,🟢 已滿足進場條件
1528,恩德,2026-07-24 03:39:18,True,19.15,579 張,+474(30%)/-310(35%)/-233(22%)/+163(18%)/-108(17%),-14(0%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 乖離率大於15%停利出場,8,87.5%,11.82%,32.17%,-18.51%,14.63,直接進場,乖離率大於15%停利出場,1528,🟢 已滿足進場條件
1560,中砂,2026-07-24 03:39:19,True,679.0,698 張,-63(3%)/-30(2%)/+548(33%)/-66(6%)/-142(20%),+247(3%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,32,84.4%,2.11%,14.1%,-27.52%,7.4,直接進場,布林通道觸頂出場,1560,🟢 已滿足進場條件
1626,艾美特-KY,2026-07-24 03:39:20,True,9.94,25 張,+35(54%)/+21(29%)/-4(11%)/+3(5%)/-9(34%),+46(18%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,80.0%,2.41%,4.87%,-1.23%,2.6,站上60T進場,布林通道觸頂出場,1626,🟢 已滿足進場條件
1617,榮星,2026-07-24 03:39:20,True,18.1,523 張,+70(6%)/+110(7%)/+91(7%)/+324(26%)/-116(20%),+479(8%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,7,71.4%,0.59%,7.59%,-10.99%,6.33,站上60T進場,碰觸20T(布林中線)以上出場,1617,🟢 已滿足進場條件
1711,永光,2026-07-24 03:39:21,True,36.15,2207 張,+1202(18%)/+187(6%)/-580(18%)/+599(21%)/-435(19%),+973(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,28.87%,67.47%,2.26%,34.22,碰觸BBAND下緣進場,乖離率大於15%停利出場,1711,🟢 已滿足進場條件
1616,億泰,2026-07-24 03:39:20,True,19.5,426 張,+22(4%)/+208(40%)/-79(15%)/-162(43%)/-91(27%),-102(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,35.7%,37.8%,33.98%,1.94,站上60T進場,乖離率大於15%停利出場,1616,🟢 已滿足進場條件
1730,花仙子,2026-07-24 03:39:23,True,51.2,3 張,+15(38%)/+14(47%)/+1(7%)/-6(16%)/-1(24%),+23(18%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,17,82.4%,0.62%,1.91%,-1.49%,0.84,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,1730,🟢 已滿足進場條件
