股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1210,大成,2026-09-15 10:02:40,True,51.5,987 張,+16(2%)/+109(12%)/+144(19%)/+11(1%)/-450(34%),-170(3%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,30,73.3%,0.26%,2.94%,-6.46%,1.88,碰觸BBAND下緣進場,站上60T出場,1210,🟢 已滿足進場條件
1101,台泥,2026-09-15 10:02:40,True,23.85,9996 張,+17607(52%)/+7094(35%)/-3001(21%)/-26396(74%)/-11687(58%),-16383(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,1.38%,3.06%,-1.21%,1.58,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1101,🟢 已滿足進場條件
1215,卜蜂,2026-09-15 10:02:41,True,105.5,573 張,+50(21%)/+350(39%)/+14(2%)/-651(60%)/-638(74%),-875(22%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,33,72.7%,0.41%,4.92%,-9.12%,3.08,直接進場,碰觸20T(布林中線)以上出場,1215,🟢 已滿足進場條件
1303,南亞,2026-09-15 10:02:42,True,221.5,28151 張,-3661(5%)/+9391(16%)/-13704(29%)/-1687(3%)/-17149(31%),-26810(9%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,6,83.3%,21.84%,53.24%,-42.64%,34.39,碰觸BBAND下緣進場,乖離率大於15%停利出場,1303,🟢 已滿足進場條件
1417,嘉裕,2026-09-15 10:02:44,True,7.97,273 張,-20(15%)/-11(11%)/-17(18%)/-26(28%)/-73(23%),-147(20%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,24,70.8%,0.45%,7.02%,-11.85%,3.96,直接進場,站上60T出場,1417,🟢 已滿足進場條件
1310,台苯,2026-09-15 10:02:42,True,8.46,922 張,+1360(35%)/-99(6%)/+519(32%)/+78(6%)/-528(36%),+1330(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,5,80.0%,0.85%,3.32%,-0.12%,1.39,站上60T進場,站上60T出場,1310,🟢 已滿足進場條件
1460,宏遠,2026-09-15 10:02:45,True,6.28,357 張,+2(1%)/+4(1%)/-59(33%)/-36(12%)/-67(17%),-156(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,3,100.0%,0.86%,1.25%,0.42%,0.42,站上60T進場,碰觸20T(布林中線)以上出場,1460,🟢 已滿足進場條件
1503,士電,2026-09-15 10:02:46,True,195.5,471 張,+569(55%)/+535(31%)/-214(18%)/-587(26%)/-293(35%),+10(0%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,80.0%,33.74%,88.06%,-42.81%,48.61,碰觸BBAND下緣進場,乖離率大於15%停利出場,1503,🟢 已滿足進場條件
1504,東元,2026-09-15 10:02:46,True,69.1,2149 張,+1026(30%)/+349(10%)/-766(17%)/+1204(15%)/-1061(29%),+752(3%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,28.48%,39.54%,21.19%,9.74,碰觸BBAND下緣進場,乖離率大於15%停利出場,1504,🟢 已滿足進場條件
1515,力山,2026-09-15 10:02:46,True,29.25,269 張,+71(12%)/-247(29%)/+68(4%)/-139(16%)/-20(4%),-267(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,2.52%,11.83%,-4.42%,5.86,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1515,🟢 已滿足進場條件
1532,勤美,2026-09-15 10:02:47,True,22.3,256 張,+16(4%)/+29(22%)/-189(38%)/+33(15%)/-73(23%),-184(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,100.0%,3.36%,4.02%,2.79%,0.45,站上60T進場,布林通道觸頂出場,1532,🟢 已滿足進場條件
1560,中砂,2026-09-15 10:02:48,True,736.0,365 張,+262(27%)/+112(26%)/+1462(38%)/-424(22%)/-139(20%),+1273(16%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,34,85.3%,2.69%,15.1%,-27.52%,7.61,直接進場,布林通道觸頂出場,1560,🟢 已滿足進場條件
1536,和大,2026-09-15 10:02:47,True,46.15,1186 張,-100(16%)/+214(21%)/+67(8%)/-236(32%)/-812(57%),-867(19%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] MACD柱狀體翻綠出場,3,100.0%,1.07%,2.5%,0.31%,1.24,站上5T進場,MACD柱狀體翻綠出場,1536,🟢 已滿足進場條件
1597,直得,2026-09-15 10:02:48,True,133.5,535 張,+1369(35%)/-351(20%)/+82(5%)/-582(35%)/+140(9%),+658(6%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,37,83.8%,2.23%,13.89%,-32.44%,6.93,碰觸BBAND下緣進場,站上60T出場,1597,🟢 已滿足進場條件
1608,華榮,2026-09-15 10:02:49,True,35.35,825 張,+815(26%)/-853(36%)/+155(9%)/-132(10%)/-532(42%),-547(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,10,80.0%,2.14%,8.7%,-4.14%,3.91,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1608,🟢 已滿足進場條件
1721,國慶科技,2026-09-15 10:02:50,True,21.2,233 張,-890(20%)/-31(2%)/-225(29%)/+93(19%)/+24(5%),-1029(13%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 乖離率大於15%停利出場,3,100.0%,23.15%,46.35%,1.86%,22.31,站上5T進場,乖離率大於15%停利出場,1721,🟢 已滿足進場條件
1722,台肥,2026-09-15 10:02:50,True,41.9,2163 張,-1844(51%)/-2733(52%)/-1763(35%)/-1550(44%)/-635(18%),-8525(41%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 布林通道觸頂出場,4,100.0%,1.71%,4.77%,0.18%,2.07,站上5T進場,布林通道觸頂出場,1722,🟢 已滿足進場條件
