股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1414,東和,2026-09-04 09:35:40,True,17.75,203 張,-28(12%)/-102(51%)/-19(8%)/-67(33%)/-84(35%),-300(27%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,28,78.6%,0.39%,5.03%,-12.68%,4.24,碰觸BBAND下緣進場,站上60T出場,1414,🟢 已滿足進場條件
1439,雋揚,2026-09-04 09:35:40,True,29.1,9 張,-12(70%)/-2(12%)/+6(24%)/-1(33%)/+1(9%),-8(11%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,12,100.0%,4.22%,10.73%,0.97%,3.14,碰觸BBAND下緣進場,布林通道觸頂出場,1439,🟢 已滿足進場條件
1713,國化,2026-09-04 09:35:43,True,43.45,731 張,-17(17%)/+103(34%)/+62(16%)/+69(14%)/+35(5%),+252(13%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,7,71.4%,0.2%,0.6%,-0.35%,0.32,站上60T進場,站上60T出場,1713,🟢 已滿足進場條件
2032,新鋼,2026-09-04 09:35:45,True,17.0,269 張,-33(14%)/+11(9%)/-108(54%)/+85(23%)/+40(13%),-5(0%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,29,72.4%,0.64%,7.6%,-22.59%,6.26,碰觸BBAND下緣進場,布林通道觸頂出場,2032,🟢 已滿足進場條件
2368,金像電,2026-09-04 09:35:47,True,1045.0,9141 張,+65(0%)/-1709(14%)/-791(13%)/+144(2%)/-1375(14%),-3666(7%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,100.0%,5.3%,10.18%,2.97%,2.65,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2368,🟢 已滿足進場條件
2476,鉅祥,2026-09-04 09:35:49,True,120.5,1493 張,+28(2%)/+290(13%)/-191(20%)/+118(10%)/-424(26%),-179(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,36,83.3%,1.89%,8.54%,-20.17%,4.74,碰觸BBAND下緣進場,站上60T出場,2476,🟢 已滿足進場條件
3024,憶聲,2026-09-04 09:35:53,True,14.05,1639 張,+972(41%)/-1042(47%)/-78(12%)/-53(4%)/-642(37%),-843(10%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,9,88.9%,1.7%,3.94%,-4.5%,2.51,站上60T進場,碰觸20T(布林中線)以上出場,3024,🟢 已滿足進場條件
3356,奇偶,2026-09-04 09:35:55,True,61.4,581 張,-1(0%)/-88(26%)/-152(20%)/-196(38%)/-120(19%),-557(22%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,41,80.5%,1.09%,6.84%,-8.88%,3.64,碰觸BBAND下緣進場,站上60T出場,3356,🟢 已滿足進場條件
3583,辛耘,2026-09-04 09:35:56,True,712.0,1908 張,-507(34%)/+302(24%)/-107(11%)/-150(18%)/-846(42%),-1308(20%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,15,80.0%,1.62%,6.12%,-4.1%,2.75,站上60T進場,碰觸20T(布林中線)以上出場,3583,🟢 已滿足進場條件
5225,東科-KY,2026-09-04 09:35:59,True,57.5,1123 張,+40(33%)/+70(58%)/+32(43%)/+53(30%)/-205(18%),-10(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,12,83.3%,3.42%,14.8%,-1.34%,4.1,站上60T進場,布林通道觸頂出場,5225,🟢 已滿足進場條件
6598,ABC-KY,2026-09-04 09:36:02,True,27.0,581 張,-59(35%)/-35(23%)/-19(21%)/-77(35%)/+20(10%),-170(20%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,33,72.7%,0.56%,6.85%,-8.7%,3.69,直接進場,布林通道觸頂出場,6598,🟢 已滿足進場條件
