股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1225,福懋油,2026-07-31 03:47:18,True,25.95,202 張,+48(42%)/+57(45%)/+110(41%)/+177(38%)/-72(35%),+320(27%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,4,75.0%,3.32%,12.19%,-13.67%,11.59,站上60T進場,布林通道觸頂出場,1225,🟢 已滿足進場條件
2031,新光鋼,2026-07-31 03:47:23,True,38.3,510 張,+290(36%)/-281(47%)/+50(6%)/-85(19%)/-144(27%),-170(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,33,75.8%,0.39%,7.68%,-14.65%,4.6,碰觸BBAND下緣進場,站上60T出場,2031,🟢 已滿足進場條件
2379,瑞昱,2026-07-31 03:47:25,True,668.0,7560 張,+796(17%)/-380(12%)/+246(4%)/-222(4%)/-2314(29%),-1874(7%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,47,76.6%,0.92%,6.89%,-11.03%,3.09,直接進場,碰觸20T(布林中線)以上出場,2379,🟢 已滿足進場條件
2608,嘉里大榮,2026-07-31 03:47:28,True,29.15,315 張,+170(54%)/+54(24%)/+646(71%)/+73(18%)/-103(30%),+840(38%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,4,75.0%,0.93%,2.75%,-0.8%,1.48,站上60T進場,碰觸20T(布林中線)以上出場,2608,🟢 已滿足進場條件
3026,禾伸堂,2026-07-31 03:47:31,True,427.5,2936 張,-577(29%)/+122(48%)/+390(51%)/-1050(27%)/-892(21%),-2007(18%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,37.68%,50.26%,30.34%,10.94,碰觸BBAND下緣進場,乖離率大於15%停利出場,3026,🟢 已滿足進場條件
3035,智原,2026-07-31 03:47:31,True,150.0,10835 張,-2(0%)/-712(13%)/-1123(26%)/-140(1%)/-3776(32%),-5753(15%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,10.43%,12.78%,6.94%,3.08,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,3035,🟢 已滿足進場條件
3055,蔚華科,2026-07-31 03:47:31,True,91.0,294 張,-101(2%)/+1124(34%)/-316(16%)/-11(0%)/-166(34%),+530(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,10,90.0%,2.92%,5.76%,-1.68%,2.1,站上60T進場,碰觸20T(布林中線)以上出場,3055,🟢 已滿足進場條件
4904,遠傳,2026-07-31 03:47:35,True,104.0,4126 張,+6918(64%)/+5023(57%)/+7005(36%)/+6480(43%)/-1511(35%),+23915(41%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,100.0%,1.5%,2.48%,0.33%,0.89,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,4904,🟢 已滿足進場條件
6670,復盛應用,2026-07-31 03:47:40,True,256.5,470 張,+205(43%)/+25(11%)/+68(20%)/+16(7%)/-156(32%),+158(9%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,33,78.8%,1.02%,7.28%,-14.43%,3.5,碰觸BBAND下緣進場,站上60T出場,6670,🟢 已滿足進場條件
8940,新天地,2026-07-31 03:47:44,True,15.5,47 張,+1(7%)/-3(12%)/+16(11%)/-12(19%)/-20(35%),-18(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,5.89%,9.96%,1.89%,4.04,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,8940,🟢 已滿足進場條件
