股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1308,亞聚,2026-08-14 06:39:48,True,13.4,2083 張,+1546(63%)/+216(19%)/+351(31%)/+242(17%)/-446(35%),+1909(26%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,71.4%,1.61%,9.89%,-1.23%,3.77,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1308,🟢 已滿足進場條件
1540,喬福,2026-08-14 06:39:51,True,19.15,124 張,-111(60%)/-25(15%)/+33(19%)/-275(64%)/-13(7%),-391(34%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,9,88.9%,5.81%,18.63%,-9.08%,8.13,站上60T進場,布林通道觸頂出場,1540,🟢 已滿足進場條件
1590,亞德客-KY,2026-08-14 06:39:51,True,1450.0,541 張,-348(26%)/-130(17%)/-7(1%)/+69(5%)/-126(15%),-542(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,2.42%,4.2%,-0.25%,1.88,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1590,🟢 已滿足進場條件
1708,東鹼,2026-08-14 06:39:52,True,48.15,1595 張,+183(7%)/+39(2%)/+108(5%)/-139(7%)/-708(28%),-517(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,34,85.3%,0.41%,12.29%,-17.44%,5.24,碰觸BBAND下緣進場,站上60T出場,1708,🟢 已滿足進場條件
1717,長興,2026-08-14 06:39:53,True,71.5,14588 張,+5138(38%)/+3860(22%)/+18026(41%)/+4515(16%)/-10315(33%),+21224(16%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,25.33%,29.7%,22.77%,3.81,碰觸BBAND下緣進場,乖離率大於15%停利出場,1717,🟢 已滿足進場條件
1727,中華化,2026-08-14 06:39:53,True,74.5,646 張,+462(26%)/-492(20%)/+624(20%)/+244(9%)/-234(18%),+604(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,100.0%,42.64%,59.39%,33.33%,11.3,碰觸BBAND下緣進場,乖離率大於15%停利出場,1727,🟢 已滿足進場條件
2006,東和鋼鐵,2026-08-14 06:39:55,True,81.0,2257 張,-6(0%)/+146(4%)/+66(2%)/+278(11%)/-875(25%),-391(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,100.0%,1.16%,1.72%,0.71%,0.47,站上60T進場,碰觸20T(布林中線)以上出場,2006,🟢 已滿足進場條件
2002,中鋼,2026-08-14 06:39:55,True,19.0,16906 張,+68707(60%)/+29378(35%)/+17669(40%)/-26389(51%)/-9090(23%),+80275(24%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 布林通道觸頂出場,4,75.0%,0.85%,2.72%,-1.66%,1.9,站上5T進場,布林通道觸頂出場,2002,🟢 已滿足進場條件
2015,豐興,2026-08-14 06:39:55,True,62.4,308 張,+33(20%)/-174(58%)/-215(74%)/-40(27%)/-135(35%),-531(41%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,34,70.6%,0.52%,5.33%,-17.79%,4.12,直接進場,布林通道觸頂出場,2015,🟢 已滿足進場條件
2031,新光鋼,2026-08-14 06:39:56,True,43.5,1755 張,+443(6%)/+311(12%)/-59(4%)/-101(5%)/-895(27%),-301(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,34,76.5%,0.44%,7.68%,-14.65%,4.56,碰觸BBAND下緣進場,站上60T出場,2031,🟢 已滿足進場條件
