股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1308,亞聚,2026-07-27 07:47:16,True,13.25,1673 張,+53(4%)/+567(32%)/-1767(30%)/-810(26%)/-895(23%),-2852(18%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,71.4%,1.61%,9.89%,-1.23%,3.77,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1308,🟢 已滿足進場條件
1410,南染,2026-07-27 07:47:17,True,25.75,117 張,-12(2%)/-23(18%)/+16(10%)/-8(6%)/-80(31%),-107(9%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,11,90.9%,1.95%,3.96%,-0.14%,1.24,直接進場,碰觸20T(布林中線)以上出場,1410,🟢 已滿足進場條件
1474,弘裕,2026-07-27 07:47:19,True,10.35,12 張,-7(11%)/-23(31%)/-8(8%)/-1(2%)/-8(18%),-47(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,80.0%,0.75%,3.31%,-2.01%,1.91,站上60T進場,布林通道觸頂出場,1474,🟢 已滿足進場條件
1515,力山,2026-07-27 07:47:19,True,32.4,1193 張,-778(28%)/-1109(14%)/+751(13%)/-463(11%)/-543(21%),-2142(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,100.0%,3.56%,11.85%,0.59%,4.7,站上60T進場,布林通道觸頂出場,1515,🟢 已滿足進場條件
2023,燁輝,2026-07-27 07:47:22,True,13.8,536 張,+435(36%)/+114(7%)/-38(3%)/+447(35%)/-346(35%),+612(10%),[進] 60分K之KD且RSI<20 且 直接進場；[出] KD且RSI大於70且在BBAND中線以上出場,37,73.0%,1.11%,10.06%,-8.41%,3.63,直接進場,KD且RSI大於70且在BBAND中線以上出場,2023,🟢 已滿足進場條件
2109,華豐,2026-07-27 07:47:23,True,14.4,40 張,+4(10%)/-7(6%)/-1(1%)/+1(2%)/0(0%),-3(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,1.82%,2.82%,0.54%,1.16,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2109,🟢 已滿足進場條件
2243,宏旭-KY,2026-07-27 07:47:24,True,47.85,339 張,+5(1%)/-256(49%)/+63(6%)/-419(42%)/-107(21%),-714(20%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,8,87.5%,11.65%,28.76%,-45.36%,23.69,碰觸BBAND下緣進場,乖離率大於15%停利出場,2243,🟢 已滿足進場條件
2429,銘旺科,2026-07-27 07:47:27,True,38.0,359 張,-61(10%)/-163(16%)/-151(20%)/-97(24%)/0(0%),-472(14%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,10,90.0%,17.82%,69.17%,-61.08%,35.18,碰觸BBAND下緣進場,乖離率大於15%停利出場,2429,🟢 已滿足進場條件
2483,百容,2026-07-27 07:47:28,True,36.15,286 張,-919(28%)/+43(5%)/+145(28%)/+18(7%)/-134(35%),-847(16%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,83.3%,1.31%,5.84%,-2.86%,2.98,站上60T進場,碰觸20T(布林中線)以上出場,2483,🟢 已滿足進場條件
3002,歐格,2026-07-27 07:47:31,True,17.3,152 張,-41(31%)/+19(7%)/-14(7%)/-6(4%)/0(0%),-42(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,100.0%,22.52%,36.66%,1.25%,14.66,碰觸BBAND下緣進場,乖離率大於15%停利出場,3002,🟢 已滿足進場條件
