股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1324,地球,2026-08-19 03:56:20,True,9.98,3 張,-2(6%)/-4(13%)/+5(36%)/-5(17%)/+2(44%),-4(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,100.0%,4.05%,9.06%,0.39%,3.48,站上60T進場,碰觸20T(布林中線)以上出場,1324,🟢 已滿足進場條件
1326,台化,2026-08-19 03:56:20,True,57.7,11865 張,+673(3%)/+1233(5%)/-5251(28%)/+1629(6%)/-3555(27%),-5271(5%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,0.69%,1.22%,0.1%,0.56,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,1326,🟢 已滿足進場條件
1337,再生-KY,2026-08-19 03:56:20,True,4.57,118 張,+6(4%)/+25(8%)/+63(26%)/+5(2%)/0(0%),+99(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,0.27%,2.17%,-4.41%,2.66,站上60T進場,碰觸20T(布林中線)以上出場,1337,🟢 已滿足進場條件
1477,聚陽,2026-08-19 03:56:23,True,192.0,2239 張,-1618(70%)/-1990(81%)/-1978(43%)/-1380(36%)/-410(17%),-7376(47%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,32,81.2%,0.3%,7.06%,-29.27%,6.45,碰觸BBAND下緣進場,站上60T出場,1477,🟢 已滿足進場條件
1515,力山,2026-08-19 03:56:23,True,31.4,2039 張,+30(3%)/+155(5%)/-2724(29%)/-971(29%)/-219(16%),-3729(21%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,100.0%,4.94%,11.85%,0.59%,5.39,站上60T進場,布林通道觸頂出場,1515,🟢 已滿足進場條件
1537,廣隆,2026-08-19 03:56:24,True,121.0,264 張,-67(48%)/-69(59%)/-48(25%)/-80(17%)/+116(35%),-148(12%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,29,93.1%,1.32%,9.77%,-0.35%,1.78,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,1537,🟢 已滿足進場條件
1617,榮星,2026-08-19 03:56:25,True,17.5,166 張,+127(13%)/+177(27%)/+44(8%)/+103(23%)/-28(15%),+423(15%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,7,71.4%,0.59%,7.59%,-10.99%,6.33,站上60T進場,碰觸20T(布林中線)以上出場,1617,🟢 已滿足進場條件
1713,國化,2026-08-19 03:56:26,True,44.0,63 張,-21(4%)/-80(52%)/-298(69%)/-17(16%)/-19(28%),-435(35%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,7,71.4%,0.2%,0.6%,-0.35%,0.32,站上60T進場,站上60T出場,1713,🟢 已滿足進場條件
1725,元禎,2026-08-19 03:56:26,True,30.3,11 張,+1(5%)/+1(9%)/+9(20%)/-8(26%)/-4(36%),-1(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,6,83.3%,16.07%,31.47%,-17.75%,18.85,站上60T進場,乖離率大於15%停利出場,1725,🟢 已滿足進場條件
1731,美吾華,2026-08-19 03:56:26,True,20.6,37 張,-22(23%)/-4(10%)/+26(22%)/-25(28%)/-14(34%),-39(10%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,4,100.0%,1.02%,1.62%,0.46%,0.55,站上60T進場,布林通道觸頂出場,1731,🟢 已滿足進場條件
