股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1439,雋揚,2026-07-02 10:21:04,True,23.5,6 張,-5(19%)/+82(80%)/+19(68%)/+6(19%)/0(0%),+102(51%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,12,100.0%,3.63%,10.73%,0.97%,2.79,碰觸BBAND下緣進場,布林通道觸頂出場,1439,🟢 已滿足進場條件
2010,春源,2026-07-02 10:21:08,True,21.2,1667 張,-2418(71%)/-1737(64%)/-1239(50%)/-2512(59%)/-2286(54%),-10192(60%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,9,77.8%,0.19%,5.34%,-8.08%,4.02,站上60T進場,布林通道觸頂出場,2010,🟢 已滿足進場條件
2433,互盛電,2026-07-02 10:21:12,True,42.05,114 張,-20(36%)/+5(13%)/+17(19%)/+81(40%)/-7(4%),+76(13%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,13,84.6%,0.84%,2.54%,-1.44%,1.12,直接進場,布林通道觸頂出場,2433,🟢 已滿足進場條件
2607,榮運,2026-07-02 10:21:15,True,45.55,581 張,-344(55%)/+48(20%)/-219(44%)/-202(23%)/-784(63%),-1501(43%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,37,75.7%,0.03%,6.52%,-50.64%,8.89,碰觸BBAND下緣進場,站上60T出場,2607,🟢 已滿足進場條件
2753,八方雲集,2026-07-02 10:21:16,True,181.0,191 張,+62(14%)/-70(21%)/-240(48%)/-13(1%)/-53(12%),-314(12%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,23,73.9%,0.94%,5.99%,-4.01%,2.57,碰觸BBAND下緣進場,布林通道觸頂出場,2753,🟢 已滿足進場條件
2820,華票,2026-07-02 10:21:16,True,16.7,5755 張,-1929(57%)/-1503(45%)/-1843(36%)/+785(19%)/-1825(20%),-6315(25%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,13,76.9%,0.62%,1.8%,-0.98%,0.78,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,2820,🟢 已滿足進場條件
2881,富邦金,2026-07-02 10:21:17,True,119.5,55711 張,-109(0%)/-1722(6%)/-2490(4%)/+12689(19%)/+3825(5%),+12193(5%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,24,83.3%,1.54%,9.23%,-5.88%,2.76,碰觸BBAND下緣進場,站上60T出場,2881,🟢 已滿足進場條件
3266,昇陽,2026-07-02 10:21:20,True,13.4,59 張,-10(21%)/+39(57%)/+8(26%)/+4(8%)/+5(7%),+46(17%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,83.3%,0.68%,2.31%,-2.29%,1.66,站上60T進場,碰觸20T(布林中線)以上出場,3266,🟢 已滿足進場條件
3703,欣陸,2026-07-02 10:21:22,True,20.5,729 張,+151(12%)/+182(29%)/-166(15%)/-450(26%)/-554(45%),-837(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,11,100.0%,2.15%,6.12%,0.16%,1.69,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,3703,🟢 已滿足進場條件
4137,麗豐-KY,2026-07-02 10:21:22,True,97.9,286 張,-138(61%)/+19(10%)/-157(54%)/-103(14%)/-383(60%),-762(36%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,75.0%,0.75%,2.39%,-1.38%,1.59,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,4137,🟢 已滿足進場條件
