日期,股票代號,股票名稱,最新交易日股價,最近一日交易量,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,連續X天,進場條件,出場條件
2026-06-11,7795,長廣,341.5,300 張,8,87.5%,5.6%,14.83%,-0.54%,4.75,1,直接進場,站上60T出場
2026-06-11,7610,聯友金屬-創,1555.0,113 張,3,100.0%,11.91%,18.13%,5.88%,6.13,1,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-11,6951,青新-創,78.3,81 張,3,100.0%,3.4%,5.69%,1.97%,2.0,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-11,9103,美德醫療-DR,5.75,1875 張,4,75.0%,2.95%,18.75%,-24.16%,19.45,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
2026-06-10,1312,國喬,12.8,5583 張,6,83.3%,3.17%,7.31%,-7.16%,5.45,1,站上60T進場,布林通道觸頂出場
2026-06-10,1447,力鵬,6.22,1518 張,10,80.0%,1.77%,9.18%,-5.85%,3.8,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,1449,佳和,14.2,1342 張,6,100.0%,3.33%,5.53%,1.4%,1.63,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,1467,南緯,7.49,112 張,5,80.0%,1.15%,2.65%,0.0%,1.06,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,1587,吉茂,27.6,294 張,9,77.8%,2.98%,12.97%,-4.07%,4.84,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,1721,三晃,22.6,1780 張,7,85.7%,15.04%,42.36%,-37.17%,26.38,1,直接進場,乖離率大於15%停利出場
2026-06-10,1762,中化生,35.55,1851 張,9,77.8%,1.98%,11.4%,-11.85%,6.14,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,1809,中釉,48.1,5924 張,8,75.0%,17.29%,38.39%,-26.84%,22.31,1,站上60T進場,乖離率大於15%停利出場
2026-06-10,2314,台揚,14.85,150 張,8,75.0%,0.48%,13.05%,-20.66%,9.63,1,站上60T進場,布林通道觸頂出場
2026-06-10,2316,楠梓電,153.5,2098 張,5,100.0%,40.81%,94.19%,14.8%,32.96,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
2026-06-10,2357,華碩,781.0,3410 張,31,71.0%,0.2%,10.1%,-21.25%,6.58,1,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-10,2405,輔信,18.15,2957 張,35,77.1%,1.35%,7.92%,-25.12%,5.87,1,碰觸BBAND下緣進場,站上60T出場
2026-06-10,2427,三商電,22.1,442 張,9,88.9%,2.08%,6.52%,-1.97%,2.39,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-10,2455,全新,320.0,7063 張,3,100.0%,42.18%,50.48%,26.5%,13.59,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
