股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
2367,燿華,2026-09-08 04:29:39,True,41.65,1862 張,+603(22%)/-403(11%)/+758(21%)/-699(23%)/-523(28%),-264(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,41.17%,46.43%,35.88%,5.28,碰觸BBAND下緣進場,乖離率大於15%停利出場,2367,🟢 已滿足進場條件
2417,圓剛,2026-09-08 04:29:41,True,38.45,663 張,+218(49%)/-64(10%)/+24(6%)/-830(54%)/-242(35%),-894(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,19,84.2%,2.11%,9.96%,-12.11%,5.42,站上60T進場,碰觸20T(布林中線)以上出場,2417,🟢 已滿足進場條件
2483,百容,2026-09-08 04:29:43,True,32.0,852 張,+166(21%)/-212(24%)/+96(11%)/-51(10%)/-206(24%),-207(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,83.3%,1.31%,5.84%,-2.86%,2.98,站上60T進場,碰觸20T(布林中線)以上出場,2483,🟢 已滿足進場條件
2498,宏達電,2026-09-08 04:29:43,True,40.6,2173 張,-87(1%)/-778(6%)/-2071(22%)/-1108(27%)/-652(28%),-4696(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,9,77.8%,3.1%,11.61%,-6.43%,5.28,站上60T進場,布林通道觸頂出場,2498,🟢 已滿足進場條件
2486,一詮,2026-09-08 04:29:43,True,245.5,4274 張,+909(13%)/-5482(16%)/-2273(18%)/-768(12%)/-1534(35%),-9148(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,11,90.9%,6.43%,15.25%,-3.22%,5.66,站上60T進場,布林通道觸頂出場,2486,🟢 已滿足進場條件
2609,陽明,2026-09-08 04:29:45,True,57.3,9382 張,-3281(8%)/+9926(28%)/-101(0%)/+26(0%)/-2877(28%),+3693(3%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,32,71.9%,0.63%,17.97%,-14.97%,5.53,碰觸BBAND下緣進場,站上60T出場,2609,🟢 已滿足進場條件
2707,晶華,2026-09-08 04:29:46,True,177.5,55 張,-4(9%)/-19(24%)/-43(45%)/-40(39%)/-23(35%),-129(33%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,100.0%,1.42%,2.32%,0.52%,0.7,站上60T進場,碰觸20T(布林中線)以上出場,2707,🟢 已滿足進場條件
3011,今皓,2026-09-08 04:29:48,True,9.8,1037 張,+57(18%)/-42(13%)/+113(27%)/-68(14%)/-369(35%),-309(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,2.7%,4.43%,-1.29%,2.55,站上60T進場,碰觸20T(布林中線)以上出場,3011,🟢 已滿足進場條件
3030,德律,2026-09-08 04:29:48,True,273.5,982 張,-360(33%)/+40(1%)/-1562(61%)/-22(3%)/-239(22%),-2143(26%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,133.24%,296.27%,16.97%,145.4,碰觸BBAND下緣進場,乖離率大於15%停利出場,3030,🟢 已滿足進場條件
3150,鈺寶-創,2026-09-08 04:29:50,True,15.75,71 張,-4(29%)/+10(26%)/+1(33%)/+3(50%)/-23(31%),-13(9%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,18,77.8%,1.1%,11.02%,-20.37%,8.42,碰觸BBAND下緣進場,布林通道觸頂出場,3150,🟢 已滿足進場條件
3094,聯傑,2026-09-08 04:29:49,True,40.85,8924 張,-612(11%)/+1079(12%)/+2838(16%)/+312(2%)/-3058(32%),+559(1%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,31,74.2%,1.04%,10.86%,-20.92%,5.67,碰觸BBAND下緣進場,站上60T出場,3094,🟢 已滿足進場條件
3312,弘憶股,2026-09-08 04:29:50,True,50.3,552 張,+16(1%)/-861(25%)/+62(7%)/+69(10%)/-209(35%),-923(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,6,83.3%,26.48%,69.05%,-47.42%,39.6,站上60T進場,乖離率大於15%停利出場,3312,🟢 已滿足進場條件
3305,昇貿,2026-09-08 04:29:50,True,103.5,2314 張,-229(23%)/-338(30%)/+148(18%)/+153(13%)/-836(35%),-1102(17%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,29.86%,48.33%,8.02%,20.37,站上60T進場,乖離率大於15%停利出場,3305,🟢 已滿足進場條件
3356,奇偶,2026-09-08 04:29:50,True,59.8,251 張,-152(20%)/-196(38%)/-120(20%)/-123(24%)/-19(7%),-610(23%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,40,80.0%,1.07%,6.84%,-8.88%,3.69,碰觸BBAND下緣進場,站上60T出場,3356,🟢 已滿足進場條件
3450,聯鈞,2026-09-08 04:29:51,True,540.0,1529 張,+213(2%)/+146(6%)/-21(1%)/+248(28%)/-543(35%),+43(0%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,8,100.0%,35.39%,90.49%,9.74%,29.59,碰觸BBAND下緣進場,乖離率大於15%停利出場,3450,🟢 已滿足進場條件
3518,柏騰,2026-09-08 04:29:52,True,29.25,305 張,-329(8%)/-372(10%)/-110(7%)/+36(5%)/-111(35%),-886(9%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,80.0%,5.26%,24.61%,-35.5%,24.78,碰觸BBAND下緣進場,乖離率大於15%停利出場,3518,🟢 已滿足進場條件
3533,嘉澤,2026-09-08 04:29:52,True,1625.0,405 張,-83(8%)/-69(9%)/-17(4%)/+17(3%)/-149(35%),-301(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,10,90.0%,4.31%,13.21%,-11.76%,6.77,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,3533,🟢 已滿足進場條件
3543,州巧,2026-09-08 04:29:52,True,43.65,743 張,-664(18%)/-371(7%)/-201(12%)/-382(30%)/-212(27%),-1830(15%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,100.0%,19.03%,31.4%,1.95%,10.64,碰觸BBAND下緣進場,乖離率大於15%停利出場,3543,🟢 已滿足進場條件
3622,洋華,2026-09-08 04:29:53,True,50.0,202 張,-109(46%)/-297(58%)/-111(27%)/-59(9%)/-81(35%),-657(32%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,35,77.1%,0.96%,16.9%,-20.23%,5.71,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,3622,🟢 已滿足進場條件
3665,貿聯-KY,2026-09-08 04:29:54,True,1955.0,2361 張,-1194(37%)/-754(33%)/+50(4%)/-621(26%)/-706(29%),-3225(28%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,124.58%,240.11%,50.49%,101.37,站上60T進場,乖離率大於15%停利出場,3665,🟢 已滿足進場條件
3669,圓展,2026-09-08 04:29:54,True,32.85,107 張,+15(16%)/-90(45%)/+5(5%)/-362(55%)/-33(29%),-465(40%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,71.4%,3.3%,10.0%,-3.18%,5.17,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,3669,🟢 已滿足進場條件
4555,氣立,2026-09-08 04:29:56,True,43.05,250 張,-3(7%)/-34(34%)/+14(12%)/-139(61%)/-89(35%),-251(34%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,28,75.0%,1.56%,9.39%,-18.26%,5.37,碰觸BBAND下緣進場,站上60T出場,4555,🟢 已滿足進場條件
4540,全球傳動,2026-09-08 04:29:56,True,57.6,1087 張,+199(9%)/-718(12%)/+88(4%)/-103(4%)/-356(32%),-890(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,6,83.3%,13.89%,40.24%,-0.5%,15.43,站上60T進場,乖離率大於15%停利出場,4540,🟢 已滿足進場條件
4952,凌通,2026-09-08 04:29:57,True,48.85,347 張,+69(49%)/+5(2%)/+45(25%)/+62(21%)/-122(35%),+59(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,10,70.0%,1.77%,11.7%,-7.6%,5.61,站上60T進場,布林通道觸頂出場,4952,🟢 已滿足進場條件
5225,東科-KY,2026-09-08 04:29:58,True,55.1,241 張,+32(43%)/+53(30%)/-205(18%)/+1(0%)/-76(31%),-195(9%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,12,83.3%,3.51%,14.8%,-1.34%,4.12,站上60T進場,布林通道觸頂出場,5225,🟢 已滿足進場條件
5388,中磊,2026-09-08 04:29:58,True,74.0,2543 張,-673(36%)/-2747(56%)/-519(20%)/-485(30%)/-828(31%),-5252(38%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,0.45%,3.18%,-2.69%,2.09,站上60T進場,碰觸20T(布林中線)以上出場,5388,🟢 已滿足進場條件
5471,松翰,2026-09-08 04:29:58,True,55.2,3619 張,+231(12%)/+59(3%)/+276(20%)/-467(17%)/-1244(32%),-1145(10%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 布林通道觸頂出場,34,70.6%,2.09%,15.18%,-15.34%,6.09,碰觸BBAND下緣進場,布林通道觸頂出場,5471,🟢 已滿足進場條件
6128,上福,2026-09-08 04:30:00,True,19.4,94 張,-6(6%)/+3(20%)/+9(19%)/+30(25%)/-41(35%),-5(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,3,100.0%,0.44%,0.88%,0.21%,0.37,站上60T進場,站上60T出場,6128,🟢 已滿足進場條件
6189,豐藝,2026-09-08 04:30:00,True,46.9,347 張,+143(64%)/+25(10%)/+110(43%)/-210(45%)/-102(29%),-34(2%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,14,71.4%,1.57%,12.79%,-5.8%,4.5,站上60T進場,布林通道觸頂出場,6189,🟢 已滿足進場條件
6165,浪凡,2026-09-08 04:30:00,True,48.2,109 張,+173(53%)/-87(30%)/-50(35%)/-30(22%)/-41(35%),-35(3%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,0.75%,7.91%,-14.82%,8.92,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,6165,🟢 已滿足進場條件
