股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key
1464,得力,2026-06-10 23:13:41,False,,,,,,,,,,,
1453,大將,2026-06-10 23:13:40,False,,,,,,,,,,,
1457,宜進,2026-06-10 23:13:41,False,,,,,,,,,,,
1463,強盛新,2026-06-10 23:13:41,False,,,,,,,,,,,
1455,集盛,2026-06-10 23:13:41,False,,,,,,,,,,,
1456,怡華,2026-06-10 23:13:41,False,,,,,,,,,,,
1459,聯發,2026-06-10 23:13:41,True,11.6,61 張,[進] 60分K之KD且RSI<20 且 直接進場；[出] 布林通道觸頂出場,21.0,76.2%,2.58%,11.46%,-5.15%,4.23,直接進場,布林通道觸頂出場
1465,偉全,2026-06-10 23:13:41,False,,,,,,,,,,,
1466,聚隆,2026-06-10 23:13:41,False,,,,,,,,,,,
1472,三洋實業,2026-06-10 23:13:41,False,,,,,,,,,,,
1473,台南,2026-06-10 23:13:41,False,,,,,,,,,,,
1468,昶和,2026-06-10 23:13:41,False,,,,,,,,,,,
1471,首利,2026-06-10 23:13:41,False,,,,,,,,,,,
1470,大統新創,2026-06-10 23:13:41,False,,,,,,,,,,,
1474,弘裕,2026-06-10 23:13:41,False,,,,,,,,,,,
1476,儒鴻,2026-06-10 23:13:41,False,,,,,,,,,,,
1467,南緯,2026-06-10 23:13:41,False,,,,,,,,,,,
1475,業旺,2026-06-10 23:13:41,False,,,,,,,,,,,
1513,中興電,2026-06-10 23:13:41,False,,,,,,,,,,,
1512,瑞利,2026-06-10 23:13:41,False,,,,,,,,,,,
1517,利奇,2026-06-10 23:13:41,False,,,,,,,,,,,
1506,正道,2026-06-10 23:13:41,False,,,,,,,,,,,
1515,力山,2026-06-10 23:13:41,False,,,,,,,,,,,
1516,川飛,2026-06-10 23:13:41,False,,,,,,,,,,,
1503,士電,2026-06-10 23:13:41,True,216.5,3843 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 站上60T出場,11.0,72.7%,0.53%,1.37%,-0.78%,0.68,站上60T進場,站上60T出場
1477,聚陽,2026-06-10 23:13:41,False,,,,,,,,,,,
1504,東元,2026-06-10 23:13:41,True,69.8,18058 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3.0,100.0%,24.59%,27.89%,21.19%,3.35,碰觸BBAND下緣進場,乖離率大於15%停利出場
1527,鑽全,2026-06-10 23:13:42,False,,,,,,,,,,,
1521,大億,2026-06-10 23:13:42,False,,,,,,,,,,,
1525,江申,2026-06-10 23:13:42,False,,,,,,,,,,,
1524,耿鼎,2026-06-10 23:13:42,False,,,,,,,,,,,
1519,華城,2026-06-10 23:13:42,False,,,,,,,,,,,
1522,堤維西,2026-06-10 23:13:42,False,,,,,,,,,,,
1528,恩德,2026-06-10 23:13:42,False,,,,,,,,,,,
