股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1210,大成,2026-08-05 06:39:50,True,54.9,3332 張,+472(37%)/-2865(57%)/-553(28%)/-1422(34%)/-880(21%),-5248(32%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,28,75.0%,0.4%,2.94%,-6.46%,1.86,碰觸BBAND下緣進場,站上60T出場,1210,🟢 已滿足進場條件
1437,勤益控,2026-08-05 06:39:52,True,29.75,185 張,+94(34%)/+49(20%)/-141(44%)/-128(39%)/-78(35%),-204(15%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 碰觸20T(布林中線)以上出場,33,72.7%,0.08%,3.16%,-4.31%,1.86,直接進場,碰觸20T(布林中線)以上出場,1437,🟢 已滿足進場條件
2305,全友,2026-08-05 06:39:57,True,29.35,926 張,+1189(11%)/-2032(21%)/-219(2%)/+1106(14%)/-3106(35%),-3062(6%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,13.8%,41.09%,-44.52%,39.94,碰觸BBAND下緣進場,乖離率大於15%停利出場,2305,🟢 已滿足進場條件
2636,台驊控股,2026-08-05 06:40:01,True,64.7,311 張,+68(37%)/+168(69%)/+7(3%)/-41(17%)/-142(35%),+60(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,5,100.0%,4.28%,9.0%,1.01%,3.61,站上60T進場,布林通道觸頂出場,2636,🟢 已滿足進場條件
2801,彰銀,2026-08-05 06:40:01,True,23.7,28541 張,+12114(30%)/+6434(9%)/-19725(38%)/-35770(51%)/-14867(22%),-51814(17%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,36,80.6%,0.75%,6.4%,-1.92%,1.33,直接進場,站上60T出場,2801,🟢 已滿足進場條件
2852,第一保,2026-08-05 06:40:02,True,26.55,308 張,+269(62%)/+635(56%)/+53(14%)/-158(58%)/-103(21%),+696(26%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,0.8%,2.03%,-1.75%,1.5,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,2852,🟢 已滿足進場條件
2939,永邑-KY,2026-08-05 06:40:03,True,18.1,15 張,-3(25%)/+7(33%)/+6(15%)/-1(3%)/-7(23%),+2(1%),[進] 60分K之KD且RSI<20 且 直接進場；[出] 站上60T出場,30,83.3%,2.6%,14.18%,-11.5%,4.93,直接進場,站上60T出場,2939,🟢 已滿足進場條件
3229,晟鈦,2026-08-05 06:40:05,True,44.2,605 張,+34(6%)/+164(19%)/+605(31%)/+141(13%)/-309(32%),+635(12%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,83.3%,2.68%,8.16%,-3.62%,3.82,站上60T進場,碰觸20T(布林中線)以上出場,3229,🟢 已滿足進場條件
8422,可寧衛*,2026-08-05 06:40:14,True,26.0,3082 張,-515(9%)/+881(7%)/+4758(40%)/-1045(19%)/-1375(30%),+2704(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,15,86.7%,0.08%,3.77%,-6.84%,2.67,碰觸BBAND下緣進場,站上60T出場,8422,🟢 已滿足進場條件
9938,百和,2026-08-05 06:40:16,True,42.45,1286 張,-535(31%)/-561(33%)/-463(17%)/-1447(64%)/-317(19%),-3323(33%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,36,75.0%,0.47%,4.15%,-12.21%,3.03,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,9938,🟢 已滿足進場條件
