股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1102,亞泥,2026-07-13 07:34:55,True,35.0,13664 張,-5665(46%)/-7259(64%)/-8249(67%)/0(0%)/-6523(32%),-27696(49%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,29,75.9%,0.36%,3.58%,-6.67%,2.43,碰觸BBAND下緣進場,站上60T出場,1102,🟢 已滿足進場條件
1225,福懋油,2026-07-13 07:34:56,True,26.35,421 張,-1(1%)/-3(1%)/+5(10%)/0(0%)/-104(22%),-103(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,3.1%,6.17%,1.56%,2.66,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1225,🟢 已滿足進場條件
1236,宏亞,2026-07-13 07:34:56,True,23.3,120 張,+67(20%)/-26(8%)/-19(16%)/0(0%)/-58(32%),-36(4%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,19,84.2%,1.58%,4.65%,-3.17%,2.14,碰觸BBAND下緣進場,站上60T出場,1236,🟢 已滿足進場條件
1313,聯成,2026-07-13 07:34:57,True,12.3,3039 張,+3963(27%)/-2329(15%)/-4496(42%)/0(0%)/-1795(29%),-4657(10%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,3.81%,5.75%,1.97%,1.89,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,1313,🟢 已滿足進場條件
1319,東陽,2026-07-13 07:34:57,True,75.4,1806 張,+153(5%)/-361(16%)/+44(2%)/0(0%)/-915(35%),-1079(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,6,100.0%,3.67%,6.51%,1.77%,1.71,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1319,🟢 已滿足進場條件
1337,再生-KY,2026-07-13 07:34:57,True,5.02,352 張,-252(24%)/-163(22%)/-139(31%)/0(0%)/-290(35%),-844(28%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,0.27%,2.17%,-4.41%,2.66,站上60T進場,碰觸20T(布林中線)以上出場,1337,🟢 已滿足進場條件
1409,新纖,2026-07-13 07:34:58,True,25.7,18345 張,+5951(3%)/-13420(13%)/-14710(19%)/0(0%)/-5953(16%),-28132(7%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,21.05%,32.59%,4.55%,14.67,站上60T進場,乖離率大於15%停利出場,1409,🟢 已滿足進場條件
1410,南染,2026-07-13 07:34:58,True,25.65,126 張,-9(2%)/-17(3%)/-23(8%)/0(0%)/-55(35%),-104(8%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,10,90.0%,1.92%,3.96%,-0.14%,1.16,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,1410,🟢 已滿足進場條件
1446,宏和,2026-07-13 07:34:59,True,14.55,263 張,-177(32%)/-278(24%)/-542(51%)/0(0%)/-111(19%),-1108(33%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,4,75.0%,2.16%,5.69%,-2.34%,3.37,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1446,🟢 已滿足進場條件
1449,佳和,2026-07-13 07:35:00,True,13.55,470 張,-349(23%)/-186(22%)/-181(38%)/0(0%)/-277(30%),-993(26%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,7,85.7%,2.85%,5.53%,0.0%,1.94,站上60T進場,碰觸20T(布林中線)以上出場,1449,🟢 已滿足進場條件
1455,集盛,2026-07-13 07:35:00,True,9.11,784 張,+744(19%)/-326(11%)/-864(23%)/0(0%)/-458(27%),-904(7%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,80.0%,2.57%,11.98%,-4.67%,6.02,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1455,🟢 已滿足進場條件
1506,正道,2026-07-13 07:35:01,True,10.3,85 張,+6(1%)/-54(35%)/+125(23%)/0(0%)/-51(21%),+26(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,27,77.8%,0.93%,5.34%,-8.05%,2.61,碰觸BBAND下緣進場,站上60T出場,1506,🟢 已滿足進場條件
