股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
2468,華經,2026-06-12 12:41:05,True,39.3,1000 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,5,80.0%,12.04%,46.87%,-9.42%,21.38,站上60T進場,乖離率大於15%停利出場,2468,🟢 已滿足進場條件
3406,玉晶光,2026-06-12 12:41:10,True,660.0,2234 張,[進] 60分K之KD且RSI<20 且 站上5T進場；[出] 站上60T出場,3,100.0%,4.37%,9.01%,0.83%,4.2,站上5T進場,站上60T出場,3406,🟢 已滿足進場條件
3679,新至陞,2026-06-12 12:41:11,True,113.5,102 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 碰觸20T(布林中線)以上出場,24,87.5%,1.2%,5.1%,-4.67%,1.78,碰觸BBAND下緣進場,碰觸20T(布林中線)以上出場,3679,🟢 已滿足進場條件
3702,大聯大,2026-06-12 12:41:12,True,104.5,15382 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,85.7%,0.86%,3.69%,-10.28%,4.99,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,3702,🟢 已滿足進場條件
4916,事欣科,2026-06-12 12:41:14,True,107.0,7647 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,3,100.0%,43.22%,65.42%,8.22%,30.67,站上60T進場,乖離率大於15%停利出場,4916,🟢 已滿足進場條件
6414,樺漢,2026-06-12 12:41:17,True,376.5,1385 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,7,100.0%,3.26%,8.4%,0.65%,2.65,站上60T進場,布林通道觸頂出場,6414,🟢 已滿足進場條件
6592,和潤企業,2026-06-12 12:41:18,True,65.2,467 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,1.94%,3.78%,0.64%,1.64,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,6592,🟢 已滿足進場條件
6742,澤米,2026-06-12 12:41:19,True,52.6,1275 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,10,70.0%,0.15%,4.64%,-7.91%,4.47,站上60T進場,碰觸20T(布林中線)以上出場,6742,🟢 已滿足進場條件
9103,美德醫療-DR,2026-06-12 12:41:23,True,5.65,977 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,4,75.0%,2.95%,18.75%,-24.16%,19.45,碰觸BBAND下緣進場,乖離率大於15%停利出場,9103,🟢 已滿足進場條件
