股票代號,股票名稱,今日股價,9K,9D,5T_RSI,10T_RSI,交易總次數,策略勝率 (%),平均單次利潤 (%),最佳單次利潤 (%),最差單次利潤 (%),獲利標準差,備註
1256,鮮活果汁-KY,181.5,8.68,11.52,10.9,18.7,15,40.0,-3.51,11.06,-22.92,11.01,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
1435,中福,12.85,11.42,22.2,19.8,23.85,5,60.0,6.2,28.55,-9.49,14.93,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
1519,華城,854.0,16.21,27.06,17.15,32.85,32,75.0,4.41,25.51,-33.89,11.14,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
1528,恩德,27.75,9.85,12.77,17.07,33.24,25,72.0,2.64,27.12,-28.62,14.5,無
1582,信錦,103.5,13.74,13.38,14.73,20.92,23,69.6,0.58,11.97,-20.99,7.35,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
1589,永冠-KY,5.54,3.05,8.71,14.5,21.6,14,21.4,-11.61,6.37,-42.49,14.03,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
1618,合機,41.9,9.2,22.73,14.24,31.65,23,60.9,1.19,18.62,-22.27,10.15,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
1806,冠軍,8.12,18.51,34.23,17.12,35.01,13,53.8,0.65,16.74,-14.62,11.51,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2028,威致,17.0,19.57,34.46,19.05,38.19,18,55.6,0.74,14.0,-23.61,8.62,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2344,華邦電,162.0,5.12,13.68,12.36,30.37,23,60.9,2.13,28.83,-18.89,11.67,無
2352,佳世達,31.2,13.98,27.34,16.88,36.32,26,61.5,-0.38,26.23,-23.69,10.84,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2388,威盛,68.8,10.13,14.29,16.71,21.2,20,50.0,-0.64,22.62,-23.76,13.57,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2406,國碩,34.65,7.99,21.88,19.74,34.75,22,72.7,3.5,20.28,-33.58,12.95,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2423,固緯,75.7,5.74,10.04,5.61,19.93,20,75.0,3.62,27.31,-10.89,7.4,無
2438,翔耀,24.2,8.35,14.06,13.42,22.99,19,63.2,0.89,17.92,-29.01,11.73,⚠️近10T KD死亡交叉
2451,創見,321.5,3.94,11.41,10.15,24.35,20,80.0,4.9,24.55,-22.99,9.34,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2467,志聖,583.0,14.36,29.88,15.85,29.65,25,80.0,6.27,34.89,-26.16,12.24,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3006,晶豪科,223.0,9.3,11.75,16.63,24.89,21,61.9,2.71,23.55,-27.2,12.13,無
3028,增你強,78.6,13.53,25.33,14.68,26.69,17,70.6,2.13,18.4,-12.26,8.29,⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3021,鴻名,32.4,1.73,7.47,10.48,31.74,20,60.0,1.05,15.69,-27.92,11.42,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3229,晟鈦,44.3,14.71,20.38,4.45,21.2,13,61.5,1.61,21.4,-25.0,13.59,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
3209,全科,73.3,7.57,17.16,12.08,24.61,22,54.5,0.59,12.16,-11.58,6.23,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3257,虹冠電,60.4,14.75,22.04,17.19,30.17,25,52.0,-0.72,16.43,-18.8,8.8,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3380,明泰,37.55,12.88,19.96,13.64,30.92,30,63.3,2.87,27.88,-12.4,9.29,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3576,聯合再生,17.2,13.22,22.37,9.75,23.72,22,63.6,1.12,20.34,-20.41,12.01,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3563,牧德,788.0,13.36,20.38,17.24,25.5,23,65.2,3.69,24.37,-22.65,12.65,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
